Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
modification/su_27_kab_1500;KAB-1500Kr;KAB-1500Kr;same;;;;;;;;;;;;;;;;;;;
modification/su_kab_tv/desc;Allows installing KAB-500/1500Kr guided bombs.;Allows the installation of guided KAB-500/1500Kr bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/su_kab_tv;KAB-TV;KAB-TV;same;;;;;;;;;;;;;;;;;;;
modification/su_kab_1500l/desc;Allows installing KAB-1500L guided bombs.;Allows the installation of guided KAB-1500L bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/su_kab_1500l;KAB-1500L;KAB-1500L;same;;;;;;;;;;;;;;;;;;;
modification/su_kab_1500lg/desc;Allows installing KAB-1500LG guided bombs.;Allows the installation of guided KAB-1500LG bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/su_kab_1500lg;KAB-1500LG;KAB-1500LG;same;;;;;;;;;;;;;;;;;;;
modification/us_agm_62/desc;Allows installing AGM-62A Walleye guided bombs.;Allows the installation of AGM-62A Walleye guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_agm_62;AGM-62A;AGM-62A;same;;;;;;;;;;;;;;;;;;;
modification/us_agm_62_2_erdl/desc;Allows installing AGM-62 Walleye 2 ER/DL guided bombs.;Allows the installation of AGM-62 Walleye 2 ER/DL guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_agm_62_2_erdl;AGM-62 ER/DL;AGM-62 ER/DL;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_15v1/desc;Allows installing GBU-15 guided bombs.;Allows the installation of GBU-15 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_15v1;GBU-15;GBU-15;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_8_15/desc;Allows installing GBU-8 or GBU-15 guided bombs.;Allows the installation of GBU-8 and GBU-15 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_8_15;GBU-8/15;GBU-8/15;same;;;;;;;;;;;;;;;;;;;
modification/jp_gbu38_jdam/desc;Allows installing GBU-38 guided bombs.;Allows the installation of GBU-38 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/jp_gbu38_jdam;GBU-38 JDAM;GBU-38 JDAM;same;;;;;;;;;;;;;;;;;;;
modification/us_500lb_mk82_gbu38_jdam/desc;Allows installing 500 lb or GBU-38 guided bombs.;Allows the installation of 500 lb bombs and GBU-38 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_500lb_mk82_gbu38_jdam;Mk82/GBU-38;Mk82/GBU-38;same;;;;;;;;;;;;;;;;;;;
modification/us_500lb_mk82_gbu54b/desc;Allows installing GBU-54B guided bombs.;Allows the installation of GBU-54B LJDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_500lb_mk82_gbu54b;GBU-54B;GBU-54B;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu54b/desc;Allows installing GBU-54B LJDAM guided bombs.;Allows the installation of GBU-54B LJDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu54b;GBU-54B;GBU-54B;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu55b/desc;Allows installing GBU-55B LJDAM guided bombs.;Allows the installation of GBU-55B LJDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu55b;GBU-55B;GBU-55B;same;;;;;;;;;;;;;;;;;;;
modification/gr_assta_3_0_gbu54b/desc;Allows installing GBU-54B guided bombs.;Allows the installation of GBU-54B LJDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/gr_assta_3_0_gbu54b;ASSTA 3.0 LJDAM;ASSTA 3.0 LJDAM;same;;;;;;;;;;;;;;;;;;;
modification/us_500lb_mk82_ls_6_250/desc;Allows installing 250 kg or LS-6 250 guided bombs.;Allows the installation of 250 kg bombs and LS-6 250 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_500lb_mk82_ls_6_250;Mk82/LS-6 250;Mk82/LS-6 250;same;;;;;;;;;;;;;;;;;;;
modification/us_1000lb_mk83_ls_6_500/desc;Allows installing 1000 lb or LS-6 500 guided bombs.;Allows the installation of 1000 lb bombs and LS-6 500 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_1000lb_mk83_ls_6_500;Mk83/LS-6 500;Mk83/LS-6 500;same;;;;;;;;;;;;;;;;;;;
modification/us_1000lb_mk83_gbu31_jdam/desc;Allows installing 1000 lb or GBU-31 guided bombs.;Allows the installation of 1000 lb bombs and GBU-31 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_1000lb_mk83_gbu31_jdam;Mk83/GBU-31;Mk83/GBU-31;same;;;;;;;;;;;;;;;;;;;
modification/us_2000lb_mk84_gbu31_jdam/desc;Allows installing 2000 lb or GBU-31 guided bombs.;Allows the installation of 2000 lb bombs and GBU-31 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_2000lb_mk84_gbu31_jdam;Mk84/GBU-31;Mk84/GBU-31;same;;;;;;;;;;;;;;;;;;;
modification/fr_bgl400/desc;Allows installing BGL-400 guided bombs.;Allows the installation of BGL-400 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_bgl400;BGL-400;BGL-400;same;;;;;;;;;;;;;;;;;;;
modification/fr_bgl400_gbu_48/desc;Allows installing BGL-400 or GBU-48 guided bombs.;Allows the installation of BGL-400 and GBU-48 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_bgl400_gbu_48;BGL-400/GBU-48;BGL-400/GBU-48;same;;;;;;;;;;;;;;;;;;;
modification/fr_bgl1000/desc;Allows installing BGL-1000 guided bombs.;Allows the installation of BGL-1000 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_bgl1000;BGL-1000;BGL-1000;same;;;;;;;;;;;;;;;;;;;
modification/fr_pgm_500/desc;Allows installing PGM 500 guided bombs.;Allows the installation of PGM 500 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_pgm_500;PGM 500;PGM 500;same;;;;;;;;;;;;;;;;;;;
modification/fr_pgm_2000/desc;Allows installing PGM 2000 guided bombs.;Allows the installation of PGM 2000 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_pgm_2000;PGM 2000;PGM 2000;same;;;;;;;;;;;;;;;;;;;
modification/fr_aasm_250_sbu_38/desc;Allows installing AASM 250 (SBU 38) guided bombs.;Allows the installation of AASM 250 (SBU 38) guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_aasm_250_sbu_38;AASM 250 (SBU 38);AASM 250 (SBU 38);same;;;;;;;;;;;;;;;;;;;
modification/fr_aasm_250_sbu_64/desc;Allows installing AASM 250 (SBU 64) guided bombs.;Allows the installation of AASM 250 (SBU 64) guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_aasm_250_sbu_64;AASM 250 (SBU 64);AASM 250 (SBU 64);same;;;;;;;;;;;;;;;;;;;
modification/fr_aasm_250_sbu_54/desc;Allows installing AASM 250 (SBU 54) guided bombs.;Allows the installation of AASM 250 (SBU 54) guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_aasm_250_sbu_54;AASM 250 (SBU 54);AASM 250 (SBU 54);same;;;;;;;;;;;;;;;;;;;
modification/fr_aj_168/desc;Allows installing AJ.168 missiles.;Allows the installation of AJ.168 guided missiles.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_aj_168;AJ.168;AJ.168;same;;;;;;;;;;;;;;;;;;;
modification/uk_mk_13_18/desc;Allows installing Mk.13/18 guided bombs.;Allows the installation of Mk.13/18 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/uk_mk_13_18;Mk.13/18;Mk.13/18;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_12/desc;Allows installing GBU-12 guided bombs.;Allows the installation of GBU-12 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_12;GBU-12;GBU-12;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_12_22/desc;Allows installing GBU-12 and GBU-22 guided bombs.;Allows the installation of GBU-12 and GBU-22 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_12_22;GBU-12/22;GBU-12/22;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_laser/desc;Allows installing GBU laser guided bombs.;Allows the installation of GBU laser guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_laser;LGBU;LGBU;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_12_49/desc;Allows installing GBU-12 or GBU-49 guided bombs.;Allows the installation of GBU-12 and GBU-49 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_12_49;GBU-12/49;GBU-12/49;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_16/desc;Allows installing GBU-16 guided bombs.;Allows the installation of GBU-16 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_16;GBU-16;GBU-16;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_48/desc;Allows installing GBU-48 guided bombs.;Allows the installation of GBU-48 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_48;GBU-48;GBU-48;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_24/desc;Allows installing GBU-24 guided bombs.;Allows the installation of GBU-24 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_24;GBU-24;GBU-24;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_24_gbu_50/desc;Allows installing GBU-24 or GBU-50 guided bombs.;Allows the installation of GBU-24 and GBU-50 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_24_gbu_50;GBU-24/50;GBU-24/50;same;;;;;;;;;;;;;;;;;;;
modification/us_egbu_24/desc;Allows installing EGBU-24 guided bombs.;Allows the installation of EGBU-24 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_egbu_24;EGBU-24;EGBU-24;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_10/desc;Allows installing GBU-10 guided bombs.;Allows the installation of GBU-10 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_10;GBU-10;GBU-10;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_27/desc;Allows installing GBU-27 guided bombs.;Allows the installation of GBU-27 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_27;GBU-27;GBU-27;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_10_gbu_24/desc;Allows installing GBU-10 or GBU-24 guided bombs.;Allows the installation of GBU-10 / GBU-24 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_10_gbu_24;GBU-10/24;GBU-10/24;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_8/desc;Allows installing GBU-8 guided bombs.;Allows the installation of GBU-8 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_8;GBU-8;GBU-8;same;;;;;;;;;;;;;;;;;;;
modification/us_agm_123/desc;Allows installing AGM-123 Skipper missiles.;Allows the installation of AGM-123 Skipper guided missiles.;nice;;;;;;;;;;;;;;;;;;;
modification/us_agm_123;AGM-123 Skipper;AGM-123 Skipper;same;;;;;;;;;;;;;;;;;;;
modification/us_agm_119a/desc;Allows installing AGM-119A Penguin missiles.;Allows the installation of AGM-119A Penguin guided missiles.;nice;;;;;;;;;;;;;;;;;;;
modification/us_agm_119a;AGM-119A Penguin;AGM-119A Penguin;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_38/desc;Allows installing GBU-38 guided bombs.;Allows the installation of GBU-38 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_38;GBU-38 JDAM;GBU-38 JDAM;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_32/desc;Allows installing GBU-32 JDAM guided bombs.;Allows the installation of GBU-32 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_32;GBU-32 JDAM;GBU-32 JDAM;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_31/desc;Allows installing GBU-31 JDAM guided bombs.;Allows the installation of GBU-31 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_31;GBU-31 JDAM;GBU-31 JDAM;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu_32_31/desc;Allows installing GBU-32/31 JDAM guided bombs.;Allows the installation of GBU-32/31 JDAM guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu_32_31;GBU-32/31 JDAM;GBU-32/31 JDAM;same;;;;;;;;;;;;;;;;;;;
modification/us_gbu39/desc;Allows installing GBU-39 guided bombs.;Allows the installation of GBU-39 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_gbu39;GBU-39;GBU-39;same;;;;;;;;;;;;;;;;;;;
modification/us_mk82_gbu39/desc;Allows installing 500 lb bombs and GBU-39 guided bombs.;Allows the installation of 500 lb bombs and GBU-39 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_mk82_gbu39;Mk82/GBU-39;Mk82/GBU-39;same;;;;;;;;;;;;;;;;;;;
modification/us_mk82_gbu38_gbu39/desc;Allows installing 500 lb, GBU-39 or GBU-38 guided bombs.;Allows the installation of 500 lb bombs, as well as GBU-38 JDAM and GBU-39 guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_mk82_gbu38_gbu39;Mk82/GBU-38/GBU-39;Mk82/GBU-38/GBU-39;same;;;;;;;;;;;;;;;;;;;
modification/us_blu27_gbu39/desc;Allows installing GBU-39 guided or BLU-27/B fire bombs.;Allows the installation of GBU-39 guided bombs and BLU-27/B fire bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/us_blu27_gbu39;GBU-39/BLU-27/B;GBU-39/BLU-27/B;same;;;;;;;;;;;;;;;;;;;
modification/uk_paveway_iv/desc;Allows installing Paveway IV guided bombs.;Allows the installation of Paveway IV guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/uk_paveway_iv;Paveway IV;Paveway IV;same;;;;;;;;;;;;;;;;;;;
modification/br_lizard/desc;Allows installing Lizard guided bombs.;Allows the installation of Lizard guided bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/br_lizard;Lizard;Lizard;same;;;;;;;;;;;;;;;;;;;
modification/fr_atlis2/desc;Allows installing an ATLIS II laser/electro-optical targeting pod.;Allows the installation of an ATLIS II laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_atlis2;ATLIS II;ATLIS II;same;;;;;;;;;;;;;;;;;;;
modification/it_pdlct_s_pod/desc;Allows installing a CLDP laser/electro-optical targeting pod.;Allows the installation of a CLDP laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/it_pdlct_s_pod;CLDP;CLDP;same;;;;;;;;;;;;;;;;;;;
modification/j_aaq_2_pod/desc;Allows installing a J/AAQ-2 laser/electro-optical targeting pod.;Allows the installation of a J/AAQ-2 laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/j_aaq_2_pod;J/AAQ-2;J/AAQ-2;same;;;;;;;;;;;;;;;;;;;
modification/gr_litening_pod/desc;Allows installing a LITENING II laser/electro-optical targeting pod.;Allows the installation of a LITENING II laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/gr_litening_pod;LITENING II;LITENING II;same;;;;;;;;;;;;;;;;;;;
modification/gr_litening_iii_pod/desc;Allows installing a LITENING III laser/electro-optical targeting pod.;Allows the installation of a LITENING III laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/gr_litening_iii_pod;LITENING III;LITENING III;same;;;;;;;;;;;;;;;;;;;
modification/us_an_aas_38_pod/desc;Allows installing an AN/AAS-38 electro-optical targeting pod.;Allows the installation of an AN/AAS-38 electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/us_an_aas_38_pod;AN/AAS-38;AN/AAS-38;same;;;;;;;;;;;;;;;;;;;
modification/us_an_aas_38a_pod/desc;Allows installing an AN/AAS-38A laser/electro-optical targeting pod.;Allows the installation of an AN/AAS-38A laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/us_an_aas_38a_pod;AN/AAS-38A;AN/AAS-38A;same;;;;;;;;;;;;;;;;;;;
modification/us_an_aas_38b_pod/desc;Allows installing an AN/AAS-38B laser/electro-optical targeting pod.;Allows the installation of an AN/AAS-38B laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/us_an_aas_38b_pod;AN/AAS-38B;AN/AAS-38B;same;;;;;;;;;;;;;;;;;;;
modification/us_an_asq_228_pod/desc;Allows installing an ATFLIR laser/electro-optical targeting pod.;Allows the installation of an ATFLIR laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/us_an_asq_228_pod;ATFLIR;ATFLIR;same;;;;;;;;;;;;;;;;;;;
modification/uk_tiald/desc;Allows installing a TIALD laser/electro-optical targeting pod.;Modification of the aircraft to the GR.1B version with the possibility of installation of a TIALD laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/uk_tiald;TIALD;GR.1B TIALD;nice;;;;;;;;;;;;;;;;;;;
modification/uk_tiald_pod/desc;Allows installing a TIALD laser/electro-optical targeting pod.;Allows the installation of a TIALD laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/uk_tiald_pod;TIALD;TIALD;same;;;;;;;;;;;;;;;;;;;
modification/cn_k_pzs_01/desc;Allows installing a K/PZS-01 laser/electro-optical targeting pod.;Allows the installation of a K/PZS-01 laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/cn_k_pzs_01;K/PZS-01;K/PZS-01;same;;;;;;;;;;;;;;;;;;;
modification/cn_k_adc03a/desc;Allows installing a K/ADC03A laser/electro-optical targeting pod.;Allows the installation of a K/ADC03A laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/cn_k_adc03a;K/ADC03A;K/ADC03A;same;;;;;;;;;;;;;;;;;;;
modification/tr_aselpod/desc;Allows installing an ASELPOD laser/electro-optical targeting pod.;Allows the installation of an ASELPOD laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/tr_aselpod;ASELPOD;ASELPOD;same;;;;;;;;;;;;;;;;;;;
modification/us_lantirn_pod/desc;Allows installing a LANTIRN laser/electro-optical targeting pod.;Allows the installation of a LANTIRN laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/us_lantirn_pod;LANTIRN;LANTIRN;same;;;;;;;;;;;;;;;;;;;
modification/us_pave_tack_pod/desc;Allows installing a Pave Tack laser/electro-optical targeting pod.;Allows the installation of a Pave Tack laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/us_pave_tack_pod;Pave Tack;Pave Tack;same;;;;;;;;;;;;;;;;;;;
modification/su_mercury_pod/desc;Allows installing a Mercury optical targeting pod.;Allows the installation of a Mercury optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/su_mercury_pod;Mercury;Mercury;same;;;;;;;;;;;;;;;;;;;
modification/fr_damocles_pod/desc;Allows installing a DAMOCLES laser/electro-optical targeting pod.;Allows the installation of a DAMOCLES laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/fr_damocles_pod;DAMOCLES;DAMOCLES;same;;;;;;;;;;;;;;;;;;;
modification/t_220/desc;Allows installing a T220 laser/electro-optical targeting pod.;Allows the installation of a T220 laser/electro-optical targeting pod.;nice;;;;;;;;;;;;;;;;;;;
modification/t_220;T220;T220;same;;;;;;;;;;;;;;;;;;;
elite/elite;Elite aircraft rank I;Elite aircraft rank I;same;;;;;;;;;;;;;;;;;;;
elite/sub_elite;Elite aircraft rank II;Elite aircraft rank II;same;;;;;;;;;;;;;;;;;;;
elite/elite/desc;To unlock Elite rank I, you have to purchase all modifications for this aircraft.;To unlock Elite rank I, you have to purchase all modifications for this aircraft.;same;;;;;;;;;;;;;;;;;;;
elite/sub_elite/desc;To unlock Elite rank II, you have to purchase %s modifications of the highest tier for this aircraft.;To unlock Elite rank II, you have to purchase %s modifications of the highest tier for this aircraft.;same;;;;;;;;;;;;;;;;;;;
modification/hydravlic_power;New boosters;New boosters;same;;;;;;;;;;;;;;;;;;;
modification/hydravlic_power/desc;New hydraulic boosters increase control surface responsiveness.;New hydraulic boosters improve plane's controllability;trim;;;;;;;;;;;;;;;;;;;
modification/150_octan_fuel;150 octane avgas;150 octane fuel;trim;;;;;;;;;;;;;;;;;;;
modification/150_octan_fuel/desc;Fuel vehicle with 150 octane, allowing engine to run higher compression ratios.;Allows usage of 150 octane fuel. Engine performance will be improved;trim;;;;;;;;;;;;;;;;;;;
modification/100_octan_spitfire;100 octane avgas;100 octane fuel;trim;;;;;;;;;;;;;;;;;;;
modification/100_octan_spitfire/desc;Fuel vehicle with 100 octane, allowing engine to run higher compression ratios.;Allows usage of 100 octane fuel. Engine performance will be improved;trim;;;;;;;;;;;;;;;;;;;
modification/mass_change;%s to empty mass;%s to empty mass;same;;;;;;;;;;;;;;;;;;;
modification/oswalds_change;%s to wing spanwise lift efficiency coefficient;%s to wing spanwise lift efficiency coefficient;same;;;;;;;;;;;;;;;;;;;
modification/cdMinFusel_change;%s to fuselage drag coefficient;%s to fuselage drag coefficient;same;;;;;;;;;;;;;;;;;;;
modification/cdMinTail_change;%s to zero lift stabilizer drag coefficient;%s to zero lift stabilizer drag coefficient;same;;;;;;;;;;;;;;;;;;;
modification/cdMinWing_change;%s to zero lift wing drag coefficient;%s to zero lift wing drag coefficient;same;;;;;;;;;;;;;;;;;;;
modification/ailThrSpd_change;%s to speed at which a pilot is able to deflect ailerons completely;%s to speed at which a pilot is able to deflect ailerons completely;same;;;;;;;;;;;;;;;;;;;
modification/elevThrSpd_change;%s to speed at which a pilot is able to deflect elevators completely;%s to speed at which a pilot is able to deflect elevators completely;same;;;;;;;;;;;;;;;;;;;
modification/ruddThrSpd_change;%s to speed at which a pilot is able to deflect rudder completely;%s to speed at which a pilot is able to deflect rudder completely;same;;;;;;;;;;;;;;;;;;;
modification/horsePowers_change;%s to engine power;%s to engine power;same;;;;;;;;;;;;;;;;;;;
modification/horsePowersTransmission_change;%s to drive wheels;%s to drive wheels;same;;;;;;;;;;;;;;;;;;;
modification/thrust_change;%s to engine thrust;%s to engine thrust;same;;;;;;;;;;;;;;;;;;;
modification/reloadTime_change;%s to reload time of primary weapon;%s to reload time of primary weapon;same;;;;;;;;;;;;;;;;;;;
modifications/params;Change of aircraft parameters:;Change of aircraft parameters:;same;;;;;;;;;;;;;;;;;;;
modifications/tank_params;Change of tank parameters:;Change of tank parameters:;same;;;;;;;;;;;;;;;;;;;
modifications/specs;Calculation of changes to aircraft specs:;Calculation of changes to aircraft specs:;same;;;;;;;;;;;;;;;;;;;
modifications/tank_specs;Calculation of changes to tank specs:;Calculation of changes to tank specs:;same;;;;;;;;;;;;;;;;;;;
modifications/specs_change;Changes to specs;Changes to specs;same;;;;;;;;;;;;;;;;;;;
modification/cdParasite_change;%s to parasite drag;%s to parasite drag;same;;;;;;;;;;;;;;;;;;;
modification/frc_mk3;LFRC mk.12;LFRC mk.12;same;;;;;;;;;;;;;;;;;;;
modification/frc_mk3/desc;Allows installing Tiny Tim rockets.;Allows the installation of Tiny Tim rockets.;nice;;;;;;;;;;;;;;;;;;;
modification/btd_sbc;SBC mk.I;SBC mk.I;same;;;;;;;;;;;;;;;;;;;
modification/btd_sbc/desc;Allows installing 500 lb bombs.;Allows the installation of 500 lb bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/btd_mbc;MBC mk.I;MBC mk.I;same;;;;;;;;;;;;;;;;;;;
modification/btd_mbc/desc;Allows installing 1000 lb bombs.;Allows the installation of 1000 lb bombs.;nice;;;;;;;;;;;;;;;;;;;
modification/btd_lbc;LBC mk.I;LBC mk.I;same;;;;;;;;;;;;;;;;;;;
modification/btd_lbc/desc;Allows installing a 2000 lb bomb.;Allows the installation of a 2000 lb bomb.;nice;;;;;;;;;;;;;;;;;;;
modification/btd_tc;TC mk.I;TC mk.I;same;;;;;;;;;;;;;;;;;;;
modification/btd_tc/desc;Allows installing a torpedo.;Allows the installation of torpedo weaponry.;nice;;;;;;;;;;;;;;;;;;;
modification/us_mk13;Mk.13;Mk.13;same;;;;;;;;;;;;;;;;;;;
modification/us_mk13/desc;Allows installing a torpedo.;Allows the installation of torpedo weaponry.;nice;;;;;;;;;;;;;;;;;;;
modification/t-18;T-18;T-18;same;;;;;;;;;;;;;;;;;;;
modification/t-18/desc;Allows installing a torpedo.;Allows the installation of 1 torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/der4_47bmt;Der-4-47BMT;Der4-47BMT;trim;;;;;;;;;;;;;;;;;;;
modification/der4_47bmt/desc;Allows installing a torpedo.;Allows the installation of 1 torpedo.;nice;;;;;;;;;;;;;;;;;;;
modification/hampden_2x500lb_torpedo;SBC/TSC;SBC/TSC;same;;;;;;;;;;;;;;;;;;;
modification/hampden_2x500lb_torpedo/desc;Allows installing torpedo or bombs.;Allows the installation of torpedo and bombs weaponry.;nice;;;;;;;;;;;;;;;;;;;
modification/winterketten_tank_tracks;Winterketten;Winterketten;same;;;;;;;;;;;;;;;;;;;
modification/winterketten_tank_tracks/desc;Winterketten decrease ground pressure, improving mobility.;Winterketten tracks pack. Additionally improves passing ability.;nice;;;;;;;;;;;;;;;;;;;
modification/ostketten_tank_tracks;Ostketten;Ostketten;same;;;;;;;;;;;;;;;;;;;
modification/ostketten_tank_tracks/desc;Ostketten decrease ground pressure, improving mobility.;Ostketten tracks pack. Additionally improves passing ability.;nice;;;;;;;;;;;;;;;;;;;
modification/new_tank_tracks;Tracks;Tracks;same;;;;;;;;;;;;;;;;;;;
modification/new_tank_tracks/desc;Tracks maintenance. Replacement of worn tracks and pins, adjustment of track tension improve tank handling and passing ability.;Tracks maintenance. Replacement of worn tracks and pins, adjustment of track tension improve tank handling and passing ability.;same;;;;;;;;;;;;;;;;;;;
modification/new_wheels;Tires;Tires;same;;;;;;;;;;;;;;;;;;;
modification/new_wheels/desc;Replacement of worn tires improves handling ability and trafficability of the vehicle.;Replacement of worn tires improves handling ability and trafficability of the vehicle.;same;;;;;;;;;;;;;;;;;;;
modification/new_tank_suspension;Suspension;Suspension;same;;;;;;;;;;;;;;;;;;;
modification/new_tank_suspension/desc;Suspension maintenance and adjustment. Replacement of damaged and worn elastic elements, lubrication of guide roller and tank wheel bearings. These manipulations improve suspension damping capacity, decrease pitch, and increase fire accuracy in motion.;Suspension maintenance and adjustment. Replacement of damaged and worn elastic elements, lubrication of guide roller and tank wheel bearings. These manipulations improve suspension damping capacity, decrease pitch, and increase fire accuracy in motion.;same;;;;;;;;;;;;;;;;;;;
modification/new_car_suspension;Suspension;Suspension;same;;;;;;;;;;;;;;;;;;;
modification/new_car_suspension/desc;Suspension maintenance and adjustment. Replacement of damaged and worn elastic elements, lubrication of bearings. These manipulations improve suspension damping capacity, decrease pitch, and increase fire accuracy in motion.;Suspension maintenance and adjustment. Replacement of damaged and worn elastic elements, lubrication of bearings. These manipulations improve suspension damping capacity, decrease pitch, and increase fire accuracy in motion.;same;;;;;;;;;;;;;;;;;;;
modification/new_tank_filter;Filters;Filters;same;;;;;;;;;;;;;;;;;;;
