Column1;Column2;Column3;Column4;Column5;Column6;Column7
controls/unmapped;No action;No action;nice;;;
controls/prop_pitch;Propeller Pitch;Propeller Pitch;nice;;;
hotkeys/prop_pitch;Propeller Pitch;Propeller Pitch;nice;;;
hotkeys/prop_pitch_rangeMin;Minimum Propeller Pitch;Minimum Propeller Pitch;nice;;;
hotkeys/prop_pitch_rangeMax;Maximum Propeller Pitch;Maximum Propeller Pitch;nice;;;
hotkeys/prop_pitch_rangeInc;Increase Propeller Pitch;Increase Propeller Pitch;nice;;;
hotkeys/prop_pitch_rangeDec;Decrease Propeller Pitch;Decrease Propeller Pitch;nice;;;
hotkeys/prop_pitch_rangeSet;Reset Propeller Pitch axis;Reset Propeller Pitch axis;nice;;;
controls/mixture;Mixture;Mixture;same;;;
hotkeys/mixture;Enable mixture axis;Enable mixture axis;nice;;;
hotkeys/mixture_rangeMax;Enrich mixture;Enrich mixture;nice;;;
hotkeys/mixture_rangeMin;Deplete mixture;Deplete mixture;nice;;;
hotkeys/mixture_rangeInc;Enrich mixture;Enrich mixture;nice;;;
hotkeys/mixture_rangeDec;Deplete mixture;Deplete mixture;nice;;;
hotkeys/mixture_rangeSet;Reset mixture axis;Reset mixture axis;nice;;;
controls/radiator;Radiator;Radiator;same;;;
hotkeys/radiator;Radiator;Radiator;same;;;
hotkeys/radiator_rangeMin;Close radiator shutter;Close radiator shutter;nice;;;
hotkeys/radiator_rangeMax;Open radiator shutter;Open radiator shutter;nice;;;
hotkeys/radiator_rangeDec;Close radiator shutter;Close radiator shutter;nice;;;
hotkeys/radiator_rangeInc;Open radiator shutter;Open radiator shutter;nice;;;
hotkeys/radiator_rangeSet;Reset radiator axis;Reset radiator axis;nice;;;
controls/oil_radiator;Oil Radiator;Oil Radiator;nice;;;
hotkeys/oil_radiator;Oil Radiator;Oil Radiator;nice;;;
hotkeys/oil_radiator_rangeMin;Close oil radiator shutter;Close oil radiator shutter;nice;;;
hotkeys/oil_radiator_rangeMax;Open oil radiator shutter;Open oil radiator shutter;nice;;;
hotkeys/oil_radiator_rangeDec;Close oil radiator shutter;Close oil radiator shutter;nice;;;
hotkeys/oil_radiator_rangeInc;Open oil radiator shutter;Open oil radiator shutter;nice;;;
hotkeys/oil_radiator_rangeSet;Reset oil radiator axis;Reset oil radiator axis;nice;;;
options/commander_camera_in_views;Include commander camera in views list;Include commander camera in views list;nice;;;
guiHints/commander_camera_in_views;The commander's camera is activated in the same cycle as the gunner's camera (Sniper mode in Controls) or the binoculars (Binoculars in Controls). Switching to the commander's camera occurs with a subsequent press of the corresponding key.;The commander's camera is activated in the same cycle as the gunner's camera (Sniper mode in Controls) or the binoculars (Binoculars in Controls). Switching to the commander's camera occurs with a subsequent press of the corresponding key.;nice;;;
options/commander_not_in_views;Not included in any loop;Not included in any loop;nice;;;
options/commander_in_gunner_views;Included in a gunner sight loop;Included in a gunner sight loop;nice;;;
options/commander_in_binocular_views;Included in a binocular sight loop;Included in a binocular sight loop;nice;;;
options/enable_cam_axes;Enable view axes;Enable view axes;nice;;;
guiHints/enable_cam_axes;Enable view axes;Enable view axes;nice;;;
controls/camx;View in battle - Air (X-axis);View in battle - Air (X-axis);nice;;;
controls/camy;View in battle - Air (Y-axis);View in battle - Air (Y-axis);nice;;;
controls/gm_camx;View in battle - Ground (X-axis);View in battle - Ground (X-axis);nice;;;
controls/gm_camy;View in battle - Ground (Y-axis);View in battle - Ground (Y-axis);nice;;;
controls/ship_camx;View in battle - Naval (X-axis);View in battle - Naval (X-axis);nice;;;
controls/ship_camy;View in battle - Naval (Y-axis);View in battle - Naval (Y-axis);nice;;;
hotkeys/ship_camx;View in battle - Naval (horizontal);View in battle - Naval (horizontal);nice;;;
hotkeys/ship_camx_rangeMin;View in battle - Naval (horizontal) - minimum value;View in battle - Naval (horizontal) - minimum value;nice;;;
hotkeys/ship_camx_rangeMax;View in battle - Naval (horizontal) - maximum value;View in battle - Naval (horizontal) - maximum value;nice;;;
hotkeys/ship_camx_rangeDec;View in battle - Naval (horizontal) - decrease value;View in battle - Naval (horizontal) - decrease value;nice;;;
hotkeys/ship_camx_rangeInc;View in battle - Naval (horizontal) - increase value;View in battle - Naval (horizontal) - increase value;nice;;;
hotkeys/ship_camx_rangeSet;View in battle - Naval (horizontal) - reset value;View in battle - Naval (horizontal) - reset value;nice;;;
hotkeys/ship_camy;View in battle - Naval (vertical);View in battle - Naval (vertical);nice;;;
hotkeys/ship_camy_rangeMin;View in battle - Naval (vertical) - minimum value;View in battle - Naval (vertical) - minimum value;nice;;;
hotkeys/ship_camy_rangeMax;View in battle - Naval (vertical) - maximum value;View in battle - Naval (vertical) - maximum value;nice;;;
hotkeys/ship_camy_rangeDec;View in battle - Naval (vertical) - decrease value;View in battle - Naval (vertical) - decrease value;nice;;;
hotkeys/ship_camy_rangeInc;View in battle - Naval (vertical) - increase value;View in battle - Naval (vertical) - increase value;nice;;;
hotkeys/ship_camy_rangeSet;View in battle - Naval (vertical) - reset value;View in battle - Naval (vertical) - reset value;nice;;;
controls/hangar_camera_zoom;Zoom in hangar;Zoom in hangar;nice;;;
controls/hangar_camera_x;View in hangar (X-axis);View in hangar (X-axis);nice;;;
hotkeys/hangar_camera_x;Enable view in hangar (X-axis);Enable view in hangar (X-axis);nice;;;
hotkeys/hangar_camera_x_rangeMin;View in hangar (X-axis) - minimum value;View in hangar (X-axis) - minimum value;nice;;;
hotkeys/hangar_camera_x_rangeMax;View in hangar (X-axis) - maximum value;View in hangar (X-axis) - maximum value;nice;;;
hotkeys/hangar_camera_x_rangeDec;View in hangar (X-axis) - decrease value;View in hangar (X-axis) - decrease value;nice;;;
hotkeys/hangar_camera_x_rangeInc;View in hangar (X-axis) - increase value;View in hangar (X-axis) - increase value;nice;;;
hotkeys/hangar_camera_x_rangeSet;View in hangar (X-axis) - reset value;View in hangar (X-axis) - reset value;nice;;;
controls/hangar_camera_y;View in hangar (Y-axis);View in hangar (Y-axis);nice;;;
hotkeys/hangar_camera_y;Enable view in hangar (Y-axis);Enable view in hangar (Y-axis);nice;;;
hotkeys/hangar_camera_y_rangeMin;View in hangar (Y-axis) - minimum value;View in hangar (Y-axis) - minimum value;nice;;;
hotkeys/hangar_camera_y_rangeMax;View in hangar (Y-axis) - maximum value;View in hangar (Y-axis) - maximum value;nice;;;
hotkeys/hangar_camera_y_rangeDec;View in hangar (Y-axis) - decrease value;View in hangar (Y-axis) - decrease value;nice;;;
hotkeys/hangar_camera_y_rangeInc;View in hangar (Y-axis) - increase value;View in hangar (Y-axis) - increase value;nice;;;
hotkeys/hangar_camera_y_rangeSet;View in hangar (Y-axis) - reset value;View in hangar (Y-axis) - reset value;nice;;;
controls/decal_move_x;Decal movement (X-axis);Decal movement (X-axis);nice;;;
hotkeys/decal_move_x;Enable decal movement (X-axis);Enable decal movement (X-axis);nice;;;
hotkeys/decal_move_x_rangeMin;Decal movement (X-axis) - minimum value;Decal movement (X-axis) - minimum value;nice;;;
hotkeys/decal_move_x_rangeMax;Decal movement (X-axis) - maximum value;Decal movement (X-axis) - maximum value;nice;;;
hotkeys/decal_move_x_rangeDec;Decal movement (X-axis) - decrease value;Decal movement (X-axis) - decrease value;nice;;;
hotkeys/decal_move_x_rangeInc;Decal movement (X-axis) - increase value;Decal movement (X-axis) - increase value;nice;;;
hotkeys/decal_move_x_rangeSet;Decal movement (X-axis) - reset value;Decal movement (X-axis) - reset value;nice;;;
controls/decal_move_y;Decal movement (Y-axis);Decal movement (Y-axis);nice;;;
hotkeys/decal_move_y;Enable decal movement (Y-axis);Enable decal movement (Y-axis);nice;;;
hotkeys/decal_move_y_rangeMin;Decal movement (Y-axis) - minimum value;Decal movement (Y-axis) - minimum value;nice;;;
hotkeys/decal_move_y_rangeMax;Decal movement (Y-axis) - maximum value;Decal movement (Y-axis) - maximum value;nice;;;
hotkeys/decal_move_y_rangeDec;Decal movement (Y-axis) - decrease value;Decal movement (Y-axis) - decrease value;nice;;;
hotkeys/decal_move_y_rangeInc;Decal movement (Y-axis) - increase value;Decal movement (Y-axis) - increase value;nice;;;
hotkeys/decal_move_y_rangeSet;Decal movement (Y-axis) - reset value;Decal movement (Y-axis) - reset value;nice;;;
controls/decal_rotate;Decal rotation;Decal rotation;nice;;;
controls/decal_scale;Decal scale;Decal scale;nice;;;
controls/tracker_camx;Tracker view (X-axis);Tracker view (X-axis);nice;;;
controls/tracker_camy;Tracker view (Y-axis);Tracker view (Y-axis);nice;;;
controls/fire;Fire (Machine Guns / Cannons);Fire (Machine Guns / Cannons);nice;;;
controls/presetSelect;Select layout;Select layout;nice;;;
controls/rudder_left;Rudder (left pedal);Rudder (left pedal);nice;;;
controls/rudder_right;Rudder (right pedal);Rudder (right pedal);nice;;;
controls/mouse_x;Horizontal mouse movement;Horizontal mouse movement;nice;;;
controls/mouse_y;Vertical mouse movement;Vertical mouse movement;nice;;;
controls/mouse_z;Mouse Wheel (aircraft);Mouse Wheel (aircraft);nice;;;
controls/mouse_z_ground;Mouse Wheel (ground vehicles);Mouse Wheel (ground vehicles);nice;;;
controls/mouse_z_ship;Mouse Wheel (naval);Mouse Wheel (naval);nice;;;
controls/mouse_z_mult;Mouse Wheel Multiplier (aircraft);Mouse Wheel Multiplier (aircraft);nice;;;
controls/mouse_z_mult_ground;Mouse Wheel Multiplier (ground vehicles);Mouse Wheel Multiplier (ground vehicles);nice;;;
controls/mouse_z_mult_ship;Mouse Wheel Multiplier (naval);Mouse Wheel Multiplier (naval);nice;;;
controls/invertAxis;Invert Axis;Invert Axis;nice;;;
controls/inverted;Inverted;Inverted;same;;;
controls/kRelSpd;Relative control sensitivity;Relative control sensitivity;nice;;;
controls/kRelStep;Relative control step;Relative control step;nice;;;
controls/enable_symbol;↔;↔;same;;;
controls/rangeMin_symbol;⇤;⇤;same;;;
controls/rangeMax_symbol;⇥;⇥;same;;;
controls/rangeInc_symbol;→;→;same;;;
controls/rangeDec_symbol;←;←;same;;;
controls/rangeSet_symbol;↮;↮;same;;;
controls/holdThrottleForWEP;Hold throttle for WEP;Hold throttle for WEP;nice;;;
hotkeys/msg/holdThrottleForWEP;Hold throttle for WEP (Wartime Emergency Power);Hold throttle for WEP (Wartime Emergency Power);nice;;;
controls/cam_fwd;Free cam (forward);Free cam (forward);nice;;;
hotkeys/cam_fwd;Free cam (forward);Free cam (forward);nice;;;
hotkeys/cam_fwd_rangeMin;Free cam (forward) — maximum value;Free cam (forward) — maximum value;nice;;;
hotkeys/cam_fwd_rangeMax;Free cam (forward) — minimum value;Free cam (forward) — minimum value;nice;;;
hotkeys/cam_fwd_rangeDec;Free cam (forward) — decrease value;Free cam (forward) — decrease value;nice;;;
hotkeys/cam_fwd_rangeInc;Free cam (forward) — increase value;Free cam (forward) — increase value;nice;;;
hotkeys/cam_fwd_rangeSet;Free cam (forward) - reset value;Free cam (forward) - reset value;nice;;;
controls/cam_strafe;Free cam (strafe);Free cam (strafe);nice;;;
hotkeys/cam_strafe;Free cam (strafe);Free cam (strafe);nice;;;
hotkeys/cam_strafe_rangeMin;Free cam (strafe) — maximum value;Free cam (strafe) — maximum value;nice;;;
hotkeys/cam_strafe_rangeMax;Free cam (strafe) — minimum value;Free cam (strafe) — minimum value;nice;;;
hotkeys/cam_strafe_rangeDec;Free cam (strafe) — decrease value;Free cam (strafe) — decrease value;nice;;;
hotkeys/cam_strafe_rangeInc;Free cam (strafe) — increase value;Free cam (strafe) — increase value;nice;;;
hotkeys/cam_strafe_rangeSet;Free cam (strafe) - reset value;Free cam (strafe) - reset value;nice;;;
controls/cam_vert;Free cam (vertical);Free cam (vertical);nice;;;
hotkeys/cam_vert;Free cam (vertical);Free cam (vertical);nice;;;
hotkeys/cam_vert_rangeMin;Free cam (vertical) — maximum value;Free cam (vertical) — maximum value;nice;;;
hotkeys/cam_vert_rangeMax;Free cam (vertical) — minimum value;Free cam (vertical) — minimum value;nice;;;
hotkeys/cam_vert_rangeDec;Free cam (vertical) — decrease value;Free cam (vertical) — decrease value;nice;;;
hotkeys/cam_vert_rangeInc;Free cam (vertical) — increase value;Free cam (vertical) — increase value;nice;;;
hotkeys/cam_vert_rangeSet;Free cam (vertical) - reset value;Free cam (vertical) - reset value;nice;;;
controls/cam_roll;Free cam (roll);Free cam (roll);nice;;;
hotkeys/cam_roll;Free cam (roll);Free cam (roll);nice;;;
hotkeys/cam_roll_rangeMin;Free cam (roll) — maximum value;Free cam (roll) — maximum value;nice;;;
hotkeys/cam_roll_rangeMax;Free cam (roll) — minimum value;Free cam (roll) — minimum value;nice;;;
hotkeys/cam_roll_rangeDec;Free cam (roll) — decrease value;Free cam (roll) — decrease value;nice;;;
hotkeys/cam_roll_rangeInc;Free cam (roll) — increase value;Free cam (roll) — increase value;nice;;;
hotkeys/cam_roll_rangeSet;Free cam (roll) - reset value;Free cam (roll) - reset value;nice;;;
controls/brake_left;Left brake;Left brake;nice;;;
hotkeys/brake_left;Left brake;Left brake;nice;;;
hotkeys/brake_left_rangeMin;Release left brake;Release left brake;nice;;;
hotkeys/brake_left_rangeMax;Apply left brake;Apply left brake;nice;;;
hotkeys/brake_left_rangeDec;Release left brake;Release left brake;nice;;;
hotkeys/brake_left_rangeInc;Apply left brake;Apply left brake;nice;;;
hotkeys/brake_left_rangeSet;Reset left brake axis;Reset left brake axis;nice;;;
controls/brake_right;Right brake;Right brake;nice;;;
hotkeys/brake_right;Right brake;Right brake;nice;;;
hotkeys/brake_right_rangeMin;Release right brake;Release right brake;nice;;;
hotkeys/brake_right_rangeMax;Apply right brake;Apply right brake;nice;;;
hotkeys/brake_right_rangeDec;Release right brake;Release right brake;nice;;;
hotkeys/brake_right_rangeInc;Apply right brake;Apply right brake;nice;;;
hotkeys/brake_right_rangeSet;Reset right brake axis;Reset right brake axis;nice;;;
hotkeys/ID_REPLAY_RESET_CAMERA_ROLL;Reset camera roll;Reset camera roll;nice;;;
hotkeys/ID_REPLAY_TOGGLE_PLAYER_VISIBILITY;Toggle player visibility;Toggle player visibility;nice;;;
hotkeys/ID_REPLAY_TOGGLE_DOF;Toggle depth of field;Toggle depth of field;nice;;;
hotkeys/ID_REPLAY_TOGGLE_LERP;Toggle linear/spline interpolation;Toggle linear/spline interpolation;nice;;;
hotkeys/ID_REPLAY_CAMERA_FREE;Free camera;Free camera;nice;;;
hotkeys/ID_REPLAY_CAMERA_FREE_PARENTED;Free chase camera;Free chase camera;nice;;;
hotkeys/ID_REPLAY_CAMERA_FREE_ATTACHED;Free attached camera;Free attached camera;nice;;;
hotkeys/ID_REPLAY_CAMERA_HOVER;Hover camera;Hover camera;nice;;;
hotkeys/ID_AILERONS_LEFT;Ailerons Left;Ailerons Left;nice;;;
hotkeys/ID_AILERONS_RIGHT;Ailerons Right;Ailerons Right;nice;;;
hotkeys/ID_ELEVATOR_UP;Elevator Up;Elevator Up;nice;;;
hotkeys/ID_ELEVATOR_DOWN;Elevator Down;Elevator Down;nice;;;
hotkeys/ID_RUDDER_LEFT;Rudder Left;Rudder Left;nice;;;
hotkeys/ID_RUDDER_RIGHT;Rudder Right;Rudder Right;nice;;;
hotkeys/ID_THROTTLE_MORE;Increase Throttle;Increase Throttle;nice;;;
hotkeys/ID_THROTTLE_LESS;Decrease Throttle;Decrease Throttle;nice;;;
hotkeys/ID_LOCK_TARGET;Lock Target;Lock Target;nice;;;
hotkeys/ID_NEXT_TARGET;Lock Next Target;Lock Next Target;nice;;;
hotkeys/ID_PREV_TARGET;Lock Prev Target;Lock Prev Target;nice;;;
hotkeys/ID_FIRE;Fire guns/cannons;Fire guns/cannons;nice;;;
hotkeys/ID_BOMBS;Drop bomb;Drop bomb;nice;;;
hotkeys/ID_BOMBS_SERIES;Drop bomb series;Drop bomb series;nice;;;
hotkeys/ID_BAY_DOOR;Open bomb bay door;Open bomb bay door;nice;;;
hotkeys/ID_ROCKETS;Fire rocket;Fire rocket;nice;;;
hotkeys/ID_ROCKETS_SERIES;Fire rocket salvo;Fire rocket salvo;nice;;;
hotkeys/ID_ATGM;Fire missile;Fire missile;nice;;;
hotkeys/ID_SCHRAEGE_MUSIK;"""Schräge Musik"" cannon activation";"""Schräge Musik"" cannon activation";nice;;;
hotkeys/ID_SHOOT_ARTILLERY;Call for artillery strike;Call for artillery strike;nice;;;
hotkeys/ID_TRIM;Trim aircraft;Trim aircraft;nice;;;
hotkeys/ID_HELICOPTER_TRIM;Trim helicopter;Trim helicopter;nice;;;
hotkeys/ID_TRIM_SAVE;Trimmers fixation;Trimmers fixation;nice;;;
hotkeys/ID_HELICOPTER_TRIM_SAVE;Trim save;Trim save;nice;;;
hotkeys/ID_FLAPS;Toggle Flaps;Toggle Flaps;nice;;;
hotkeys/ID_FLAPS_DOWN;Flaps Down;Flaps Down;nice;;;
hotkeys/ID_FLAPS_UP;Flaps Up;Flaps Up;nice;;;
hotkeys/ID_FLAPS_HELICOPTER;Toggle Flaps;Toggle Flaps;nice;;;
hotkeys/ID_FLAPS_DOWN_HELICOPTER;Flaps Down;Flaps Down;nice;;;
hotkeys/ID_FLAPS_UP_HELICOPTER;Flaps Up;Flaps Up;nice;;;
hotkeys/ID_TOGGLE_VIEW;Toggle View;Toggle View;nice;;;
hotkeys/ID_TOGGLE_VIEW_GM;Sniper mode;Sniper mode;nice;;;
hotkeys/ID_ENABLE_GUN_STABILIZER_GM;Stabilizer mode;Stabilizer mode;nice;;;
hotkeys/ID_TOGGLE_VIEW_SHIP;Aim mode;Aim mode;nice;;;
hotkeys/ID_TOGGLE_GM_CROSSHAIR_LIGHTING;Crosshair lighting;Crosshair lighting;nice;;;
hotkeys/ID_RELOAD_USER_SIGHT_GM;Reload custom sight;Reload custom sight;nice;;;
hotkeys/ID_GEAR;Toggle Gear;Toggle Gear;nice;;;
hotkeys/ID_TACTICAL_MAP;Tactical Map;Tactical Map;nice;;;
hotkeys/ID_ZOOM;Zoom Camera;Zoom Camera;nice;;;
hotkeys/ID_ZOOM_TOGGLE;Zoom Camera;Zoom Camera;nice;;;
hotkeys/ID_ZOOM_HARDCORE;Zoom Camera (Simulator);Zoom Camera (Simulator);nice;;;
hotkeys/ID_TARGET_CAMERA;Tracking Camera: Enemy;Tracking Camera: Enemy;nice;;;
hotkeys/ID_AIM_CAMERA;Aim mode;Aim mode;nice;;;
hotkeys/ID_CAMERA_FOLLOW_OBJECT;Tracking Camera: Bomb/Torpedo;Tracking Camera: Bomb/Torpedo;nice;;;
hotkeys/ID_CONTINUE;Continue;Continue;same;;;
hotkeys/ID_CONTINUE_SETUP;Continue;Continue;same;;;
hotkeys/ID_SKIP_CUTSCENE;Skip Cutscene;Skip Cutscene;nice;;;
hotkeys/ID_CONTROL_CAMERA_SHIFT;View Camera;View Camera;nice;;;
hotkeys/ID_HATVIEW_UP;Up view;Up view;nice;;;
hotkeys/ID_HATVIEW_DOWN;Rear View;Rear View;nice;;;
hotkeys/ID_HATVIEW_LEFT;Left View;Left View;nice;;;
hotkeys/ID_HATVIEW_RIGHT;Right View;Right View;nice;;;
hotkeys/ID_CAMERA_NEUTRAL;Mouse look activation;Mouse look activation;nice;;;
hotkeys/ID_CAMERA_VIEW_DOWN;Look down;Look down;nice;;;
hotkeys/ID_CAMERA_VIEW_BACK;Look back;Look back;nice;;;
hotkeys/ID_SCREENSHOT;Screenshot;Screenshot;same;;;
hotkeys/ID_SCREENSHOT_WO_HUD;Screenshot without interface;Screenshot without interface;nice;;;
hotkeys/ID_TOGGLE_CHAT;General chat;General chat;nice;;;
hotkeys/ID_TOGGLE_CHAT_TEAM;Chat;Chat;same;;;
hotkeys/ID_TOGGLE_CHAT_PARTY;Team chat;Team chat;nice;;;
hotkeys/ID_TOGGLE_CHAT_SQUAD;Squad chat;Squad chat;nice;;;
hotkeys/ID_TOGGLE_CHAT_MODE;Switch chat mode;Switch chat mode;nice;;;
hotkeys/ID_MIXTURE_INCREASE;Enrich Mixture;Enrich Mixture;nice;;;
hotkeys/ID_MIXTURE_DECREASE;Deplete Mixture;Deplete Mixture;nice;;;
hotkeys/ID_RADIATOR_INCREASE;Open Cowl;Open Cowl;nice;;;
hotkeys/ID_RADIATOR_DECREASE;Close Cowl;Close Cowl;nice;;;
hotkeys/ID_PROP_PITCH_INCREASE;Increase Prop. Pitch;Increase Prop. Pitch;nice;;;
hotkeys/ID_PROP_PITCH_DECREASE;Decrease Prop. Pitch;Decrease Prop. Pitch;nice;;;
hotkeys/ID_COMPLEX_ENGINE;Engine controls mode;Engine controls mode;nice;;;
hotkeys/ID_TOGGLE_ENGINE;Toggle Engine;Toggle Engine;nice;;;
hotkeys/ID_TOGGLE_ENGINE_HELICOPTER;Toggle Engine;Toggle Engine;nice;;;
hotkeys/ID_CENTER_MOUSE_JOYSTICK;Center Mouse Joystick;Center Mouse Joystick;nice;;;
hotkeys/ID_HELICOPTER_CENTER_MOUSE_JOYSTICK;Centre Mouse Joystick;Centre Mouse Joystick;nice;;;
hotkeys/ID_FIRE_MGUNS;Small-caliber guns;Small-calibre guns;nice;;;
hotkeys/ID_RELOAD_GUNS;Reload guns;Reload guns;nice;;;
hotkeys/ID_FIRE_CANNONS;Large-caliber guns;Large-calibre guns;nice;;;
hotkeys/ID_FIRE_ADDITIONAL_GUNS;Additional guns;Additional guns;nice;;;
hotkeys/ID_CAMERA_TPS;External View;External View;nice;;;
hotkeys/ID_CAMERA_FPS;Cockpit view;Cockpit view;nice;;;
hotkeys/ID_CAMERA_VIRTUAL_FPS;Virtual Cockpit;Virtual Cockpit;nice;;;
hotkeys/ID_CAMERA_DEFAULT;Default view;Default view;nice;;;
hotkeys/ID_TRIM_AILERONS_PLUS;Aileron Trim Right;Aileron Trim Right;nice;;;
hotkeys/ID_TRIM_AILERONS_MINUS;Aileron Trim Left;Aileron Trim Left;nice;;;
hotkeys/ID_TRIM_AILERONS_NEUTRAL;Aileron Trim Neutral;Aileron Trim Neutral;nice;;;
hotkeys/ID_TRIM_ELEVATOR_PLUS;Elevator Trim Positive;Elevator Trim Positive;nice;;;
hotkeys/ID_TRIM_ELEVATOR_MINUS;Elevator Trim Negative;Elevator Trim Negative;nice;;;
hotkeys/ID_TRIM_ELEVATOR_NEUTRAL;Elevator Trim Neutral;Elevator Trim Neutral;nice;;;
hotkeys/ID_TRIM_RUDDER_PLUS;Rudder Trim Right;Rudder Trim Right;nice;;;
hotkeys/ID_TRIM_RUDDER_MINUS;Rudder Trim Left;Rudder Trim Left;nice;;;
hotkeys/ID_TRIM_RUDDER_NEUTRAL;Rudder Trim Neutral;Rudder Trim Neutral;nice;;;
hotkeys/ID_ENGINE_CONTROL_HEADER;Engine Control;Engine Control;nice;;;
hotkeys/ID_SPECTATOR_CAMERA_ROTATION;Spectator camera rotation;Spectator camera rotation;nice;;;
hotkeys/ID_TOGGLE_FORCE_SPECTATOR_CAM_ROT;Free spectator camera rotation;Free spectator camera rotation;nice;;;
hotkeys/ID_REPLAY_TOGGLE_DETACHED_MOVE_DIR;Toggle fixed camera movement direction;Toggle fixed camera movement direction;nice;;;
hotkeys/ID_REPLAY_CAMERA_TWO_PLANES;Two aircraft camera;Two aircraft camera;nice;;;
hotkeys/ID_REPLAY_CAMERA_NEXT_PLANE;Two aircraft camera: Next aircraft;Two aircraft camera: Next aircraft;nice;;;
hotkeys/ID_REPLAY_CAMERA_HORIZONTAL_LOCK;Horizontal lock;Horizontal lock;nice;;;
hotkeys/ID_REPLAY_CAMERA_LOCK_SPEED;Lock current speed;Lock current speed;nice;;;
hotkeys/ID_REPLAY_CAMERA_LOCK_SPEED_TO_PLANE;Lock current speed to vehicle speed;Lock current speed to vehicle speed;nice;;;
hotkeys/ID_REPLAY_CAMERA_WIGGLE;Toggle camera wiggle;Toggle camera wiggle;nice;;;
hotkeys/msg/unbind_question;This button has already been assigned to: {action};This button has already been assigned to: {action};nice;;;
hotkeys/msg/unbind_axis_question;This axis has already been assigned to: {action};This axis has already been assigned to: {action};nice;;;
hotkeys/msg/clearAll;Do you really want to delete all control settings?;Do you really want to delete all control settings?;nice;;;
hotkeys/msg/useWizard;Would you like to customize the controls with Controls Wizard?;Would you like to customize the controls with Controls Wizard?;nice;;;
hotkeys/msg/press_a_key;Press a button;Press a button;nice;;;
hotkeys/msg/press_a_key_for_action;Press the button you want to bind to this action:;Press the button you want to bind to this action:;nice;;;
hotkeys/msg/axis_choosen;Axis selected:;Axis selected:;nice;;;
hotkeys/msg/choose_maxValue;Press a button to assign it the maximum value or move the axis to the maximum value and hold it for one second.;Press a button to assign it the maximum value or move the axis to the maximum value and hold it for one second.;nice;;;
hotkeys/msg/choose_minValue_axis;Move the axis to the minimum value and hold it for one second.;Move the axis to the minimum value and hold it for one second.;nice;;;
hotkeys/msg/choose_minValue_button;Press a button to bind to the axis's minimum value.;Press a button to bind to the axis's minimum value.;nice;;;
hotkeys/msg/choose_maxValue_horizontal;Press a button to assign it the right position or move the axis all the way to the right for one second.;Press a button to assign it the right position or move the axis all the way to the right for one second.;nice;;;
hotkeys/msg/choose_minValue_axis_horizontal;Move the axis all the way to the left for one second.;Move the axis all the way to the left for one second.;nice;;;
hotkeys/msg/choose_minValue_button_horizontal;Press a button to bind to the axis's left position.;Press a button to bind to the axis's left position.;nice;;;
hotkeys/msg/choose_maxValue_elevator;Press the button to pitch the aircraft nose up (pitching) or pull the controller all the way back and hold it for one second.;Press the button to pitch the aircraft nose up (pitching) or pull the controller all the way back and hold it for one second.;nice;;;
hotkeys/msg/choose_minValue_axis_elevator;Push the controller handle all the way forward for one second.;Push the controller handle all the way forward for one second.;nice;;;
hotkeys/msg/choose_minValue_button_elevator;Press the button to pitch the aircraft nose down (diving).;Press the button to pitch the aircraft nose down (diving).;nice;;;
hotkeys/msg/delete_hotkey;Do you really want to remove the binding?;Do you really want to remove the binding?;nice;;;
hotkeys/msg/wizardSaveUnfinished;Save changes?;Save changes?;nice;;;
hotkeys/msg/wizard_done_msg;"Control setup complete.
Axis sensitivity can be set separately on the control settings screen.
You can set up each axis individually on the control settings screen or run the wizard again.";"Control setup complete.
Axis sensitivity can be set separately on the control settings screen.
You can set up each axis individually on the control settings screen or run the wizard again.";nice;;;
hotkeys/msg/viewControl;Would you like to set up view controls?;Would you like to set up view controls?;nice;;;
hotkeys/msg/relative_camera_axis;Center the view automatically?;Center the view automatically?;nice;;;
hotkeys/msg/use_mouse_for_control;Use the mouse as a control device or just to control the view?;Use the mouse as a control device or just to control the view?;nice;;;
hotkeys/msg/mouseWheelAction;Select an action to assign to the mouse wheel;Select an action to assign to the mouse wheel;nice;;;
hotkeys/msg/trackIR;Do you have TrackIR?;Do you have TrackIR?;nice;;;
hotkeys/msg/choose_preset_or_wizard;Select a configuration from the list or launch the Controls Setup Wizard.;Select a configuration from the list or launch the Controls Setup Wizard.;nice;;;
hotkeys/tip/KeepCurrentAssign;Keep the current assignment.;Keep the current assignment.;nice;;;
controls/currentAssign;Current Assignment;Current Assignment;nice;;;
controls/useMouseControl;Both Control Device and View Controller;Both Control Device and View Controller;nice;;;
controls/useMouseView;Just View Controller;Just View Controller;nice;;;
controls/UseMouseNone;Neither;Neither;same;;;
hotkeys/neutral_cam_pos;Re-center the camera.;Re-center the camera.;nice;;;
hotkeys/ID_AILERONS_AXIS;Ailerons (Axis);Ailerons (Axis);nice;;;
hotkeys/ID_ELEVATOR_AXIS;Elevator (Axis);Elevator (Axis);nice;;;
hotkeys/ID_RUDDER_AXIS;Rudder (Axis);Rudder (Axis);nice;;;
hotkeys/ID_THROTTLE_AXIS;Throttle (Axis);Throttle (Axis);nice;;;
controls/axisUnbind;This axis is already assigned. Replace?;This axis is already assigned. Replace?;nice;;;
hotkeys/ID_WHEEL_BRAKE;Wheel brake;Wheel brake;nice;;;
