Column1;Column2;Column3;Column4;Column5;Column6;Column7
userlog/clan_action/dismiss_member;<color=@userlogColoredText>{player}</color> has expelled you from the <color=@userlogColoredText>{clan}</color> Squadron;<color=@userlogColoredText>{player}</color> has expelled you from the <color=@userlogColoredText>{clan}</color> Squadron;same;;;
userlog/clan_action/change_role;<color=@userlogColoredText>{player}</color> has changed your title to <color=@userlogColoredText>{role}</color>;<color=@userlogColoredText>{player}</color> has changed your title to <color=@userlogColoredText>{role}</color>;same;;;
userlog/clan_action/change_role_auto;Your title was automatically changed to <color=@userlogColoredText>{role}</color>;Your title was automatically changed to <color=@userlogColoredText>{role}</color>;same;;;
userlog/clan_action/leave;You have left the <color=@userlogColoredText>{clan}</color> Squadron;You have left the <color=@userlogColoredText>{clan}</color> Squadron;same;;;
userlog/clan_action/disbanded_by_leader;The <color=@userlogColoredText>{clan}</color> Squadron has been disbanded by <color=@userlogColoredText>{player}</color>;The <color=@userlogColoredText>{clan}</color> Squadron has been disbanded by <color=@userlogColoredText>{player}</color>;same;;;
userlog/clan_action/add_to_blacklist;<color=@userlogColoredText>{player}</color> has added you to the Squadron's Blacklist;<color=@userlogColoredText>{player}</color> has added you to the Squadron's Blacklist;same;;;
userlog/clan_action/remove_from_blacklist;<color=@userlogColoredText>{player}</color> has removed you from the Squadron's Blacklist;<color=@userlogColoredText>{player}</color> has removed you from the Squadron's Blacklist;same;;;
userlog/clan_action/close_open_new_invites;The <color=@userlogColoredText>{clan}</color> Squadron is <color=@userlogColoredText>{status}</color> for new membership applications;The <color=@userlogColoredText>{clan}</color> Squadron is <color=@userlogColoredText>{status}</color> for new membership applications;same;;;
userlog/clan_action/clan_info_was_changed;The <color=@userlogColoredText>{clan}</color> Squadron's information has been changed.;The <color=@userlogColoredText>{clan}</color> Squadron's information has been changed.;same;;;
userlog/clan_action/clan_info_was_renamed;The <color=@userlogColoredText>{tagOld} {clanOld}</color> Squadron has been renamed to <color=@userlogColoredText>{tag} {clan}</color>.;The <color=@userlogColoredText>{tagOld} {clanOld}</color> Squadron has been renamed to <color=@userlogColoredText>{tag} {clan}</color>.;same;;;
userlog/clan_action/clan_disbanded_by_admin;The <color=@userlogColoredText>{clan}</color> Squadron has been disbanded by the administrator <color=@userlogColoredText>{player}</color>.;The <color=@userlogColoredText>{clan}</color> Squadron has been disbanded by the administrator <color=@userlogColoredText>{player}</color>.;same;;;
userlog/clan_action/clan_was_upgraded;The <color=@userlogColoredText>{clan}</color> Squadron has been upgraded.;The <color=@userlogColoredText>{clan}</color> Squadron has been upgraded.;same;;;
userlog/clan_action/clan_max_members_count_was_increased;The maximum possible size of the <color=@userlogColoredText>{clan}</color> squadron has been increased by {sizeIncrease} people.;The maximum possible size of the <color=@userlogColoredText>{clan}</color> squadron has been increased by {sizeIncrease} people.;same;;;
userlog/admin_add_gold/positive;The Snail has granted you: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;The Administration has granted you: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;nice;;;
userlog/admin_add_gold/negative;The Snail has taken away: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;The Administration has taken away: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;nice;;;
userlog/admin_revert_gold/positive;The Snail has returned to your account: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;The Administration has returned to your account: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;nice;;;
userlog/admin_revert_gold/negative;The Snail has deducted from your account: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;The Administration has withdrawn from your account: <color=@userlogColoredText>{gold}</color>. Your current balance is: <color=@userlogColoredText>{balance}</color>.;nice;;;
userlog/ItemMoneyBack;Money back for removed weapons and modifications;Money back for removed weapons and modifications;same;;;
userlog/ItemMoneyBackDesc;Money back;Money back;same;;;
userlog/FreeExpDenominate;Free experience conversion;Free experience conversion;same;;;
userlog/FreeExpDenominateDesc;"Free experience was converted into Research Points; for every 10 XP you received 1 RP.";"Free experience was converted into Research Points; for every 10 XP you received 1 RP.";same;;;
userlog/FreeExpDenominateOld;Was;Was;same;;;
userlog/FreeExpDenominateNew;New;New;same;;;
userlog/open_all_in_tier/name;Reward for opening all modifications in a tier <color=@userlogColoredText>{tier}</color> for <color=@userlogColoredText>{unitName}</color>;Reward for opening all modifications in a tier <color=@userlogColoredText>{tier}</color> for <color=@userlogColoredText>{unitName}</color>;same;;;
userlog/open_all_in_tier/desc;You opened all modifications in the tier <color=@userlogColoredText>{tier}</color> for <color=@userlogColoredText>{unitName}</color>. Reward <color=@white>{exp}</color>;You opened all modifications in the tier <color=@userlogColoredText>{tier}</color> for <color=@userlogColoredText>{unitName}</color>. Reward <color=@white>{exp}</color>;same;;;
userlog/open_all_in_tier/resName;<color=@white>{resUnitExpInvest}</color> added to researched <color=@userlogColoredText>{resUnitName}</color>;<color=@white>{resUnitExpInvest}</color> added to researched <color=@userlogColoredText>{resUnitName}</color>;same;;;
userlog/open_all_in_tier/excessName;<color=@white>{expToExcess}</color> available for future research;<color=@white>{expToExcess}</color> available for future research;same;;;
userlog/buy_modification_multi;You have purchased modifications for your <color=@userlogColoredText>%s</color>;You have purchased modifications for your <color=@userlogColoredText>%s</color>;same;;;
userlog/buy_modification_fail;<color=@userlogColoredText>Not enough</color> <color=@currencyWpColor>€</color> to purchase modifications for your <color=@userlogColoredText>%s</color>.;<color=@userlogColoredText>Not enough</color> <color=@currencyWpColor>€</color> to purchase modifications for your <color=@userlogColoredText>%s</color>.;same;;;
userlog/no_trophy;Trophy not found;Trophy not found;same;;;
userlog/trophy_deleted;Trophy was removed;Trophy was removed;same;;;
userlog/open_trophy/short;You opened;You have opened;nice;;;
userlog/purchase_open_trophy/short;You have purchased and opened;You have purchased and opened;same;;;
userlog/excessExpEarned;earned in the previous battles;earned in the previous battles;same;;;
userlog/buy_item;You have purchased the item {itemName} ({price});You have purchased the item {itemName} ({price});same;;;
userlog/buy_item/multiple;You have purchased the items {itemName} x{amount} ({price});You have purchased the items {itemName} x{amount} ({price});same;;;
userlog/new_item;You have received the item {itemName};You have received the item {itemName};same;;;
userlog/new_item/multiple;You have received the items {itemName} x{amount};You have received the items {itemName} x{amount};same;;;
userlog/EveryDayLoginAward;Daily Login Trash;Everyday Login Award!;nice;;;
userlog/EveryDayLoginAwardDesc;Today's Trash:;Today's Award:;nice;;;
userlog/EveryDayLoginAwardSkip1Desc;"Two days have passed since your last login. Reward progress was reduced by one day.
Today's Award:";"Two days have passed since your last login. Reward progress was reduced by one day.
Today's Award:";same;;;
userlog/EveryDayLoginAwardSkip2Desc;"Three days have passed since your last login. Reward progress was reset to the last big award.
Today's Award:";"Three days have passed since your last login. Reward progress was reset to the last big award.
Today's Award:";same;;;
userlog/EveryDayLoginAwardSkip3Desc;"More than three days have passed since your last login. Reward progress was reset to the beginning.
Today's Award:";"More than three days have passed since your last login. Reward progress was reset to the beginning.
Today's Award:";same;;;
userlog/TournamentReward;Reward in the tournament {name}!;Reward in the tournament {name}!;same;;;
userlog/WagerStageFail;New stage was not achieved;New stage was not achieved;same;;;
userlog/WagerFail;{wagerName} ended;{wagerName} ended;same;;;
userlog/WagerStageWin;New stage achieved!;New stage achieved!;same;;;
userlog/WagerWin;{wagerName} Won!;{wagerName} Won!;same;;;
userlog/WagerFailDesc;;;same;;;
userlog/WagerWinDesc;Reward;Reward;same;;;
userlog/WagerStageFailDesc;;;same;;;
userlog/WagerStageWinDesc;;;same;;;
userlog/PeriodicCalendarAward;Monthly Award;Monthly Award;same;;;
userlog/PerMonthAward;;Monthly bonus for PlayStation®Plus subscribers;nice;;;
userlog/PeriodicCalendarAwardXBOXPlus;Xbox Live Gold Monthly Award;Xbox Live Gold Monthly Award;same;;;
userlog/PerMonthAwardXBOXPlus;Monthly bonus for Xbox Live Gold;Monthly bonus for Xbox Live Gold;same;;;
userlog/clanUnits/flush/name;Adding experience to squadron vehicle;Adding experience to squadron vehicle;same;;;
userlog/clanUnits/flush/desc;{rp} added to {unit};{rp} added to {unit};same;;;
userlog/clanUnits/add_unit/name;Squadron vehicle was earned;Squadron vehicle was earned;same;;;
userlog/clanUnits/add_unit/desc;{unit} was earned;{unit} was earned;same;;;
userlog/clanUnits/buy_closed_unit/name;Squadron vehicle purchased;Squadron vehicle purchased;same;;;
userlog/clanUnits/buy_closed_unit/desc;Squadron vehicle {unit} was bought for {cost};Squadron vehicle {unit} was bought for {cost};same;;;
trophy/trophy_PS_Plus_boosters;Premium boosters;Premium boosters;same;;;
trophy/big_spare_pack_trophy;Big pack of universal backups;Big pack of universal backups;same;;;
trophy/small_spare_pack_trophy;Medium pack of universal backups;Medium pack of universal backups;same;;;
trophy/spare_pack_trophy;Pack of universal backups;Pack of universal backups;same;;;
userlog/1x1_duel_ireland_realistic_awardTest1;[Duel] Air forces 1v1 [RB] tournament reward;[Duel] Air forces 1v1 [RB] tournament reward;same;;;
msgbox/qualificationIncreased;"You have increased crew qualification for %s.
Switch to this machine to see the bonuses received.";"You have increased crew qualification for %s.
Switch to this machine to see the bonuses received.";same;;;
userlog/copyToClipboard;Press <color=@userlogColoredText>Ctrl+C</color> to copy the battle results to the clipboard;Press <color=@userlogColoredText>Ctrl+C</color> to copy the battle results to the clipboard;same;;;
userlog/copyToClipboardFullInfo;Press <color=@userlogColoredText>Ctrl+C</color> to copy full information to clipboard;Press <color=@userlogColoredText>Ctrl+C</color> to copy full information to clipboard;same;;;
money/wpText;SL;SL;same;;;
money/rpText;RP;RP;same;;;
money/frpText;CRP;CRP;same;;;
money/goldText;GLD;GLD;same;;;
money/sapText;SAP;SAP;same;;;
money/premiumText;PA;PA;same;;;
reqWeapon;Required Weapon;Required Weapon;same;;;
reqModification;Required Modification;Required Modification;same;;;
mod/enable;Install;Install;same;;;
mod/disable;Uninstall;Uninstall;same;;;
mod/enable/tooltip;"You can uninstall this modification at any time. The modification will remain in the list of modifications purchased, so you can always reinstall it by pressing the ""Install"" button. However, if this modification is required for some weapon, that weapon won't be available unless the modification is installed.";"You can uninstall this modification at any time. The modification will remain in the list of modifications purchased, so you can always reinstall it by pressing the ""Install"" button. However, if this modification is required for some weapon, that weapon won't be available unless the modification is installed.";same;;;
mod/test;Test;Test;same;;;
mod/start_test_modal_title;Test — {modName};Test — {modName};same;;;
mainmenu/statistics_arcade;"Arcade Battles: {battles}; Players: {players}";"Arcade Battles: {battles}; Players: {players}";same;;;
mainmenu/statistics_historical;"Realistic Battles: {battles}; Players: {players}";"Realistic Battles: {battles}; Players: {players}";same;;;
mainmenu/statistics_realistic;"Simulator Battles: {battles}; Players: {players}";"Simulator Battles: {battles}; Players: {players}";same;;;
mainmenu/statistics_sandbox;"Custom Battles: {battles}; Players: {players}";"Custom Battles: {battles}; Players: {players}";same;;;
mainmenu/statistics_missions;"Missions: {battles}; Players: {players}";"Missions: {battles}; Players: {players}";same;;;
click_to_view_image;Click to view the image;Click to view the image;same;;;
click_to_view;Click to view;Click to view;same;;;
mainmenu/driveAgain;Drive again;Drive again;same;;;
mainmenu/toBattle;To Battle!;To Battle!;same;;;
mainmenu/toBattle/short;To Battle!;To Battle!;same;;;
mainmenu/queue_for_battle;Queue for battle.;Queue for battle.;same;;;
mainmenu/toBattle/12april;Launch!;Launch!;same;;;
mainmenu/selectAircraftTooltip;Start battle with the selected vehicle;Start battle with the selected vehicle;same;;;
mainmenu/toHangar;To hangar;To hangar;same;;;
mainmenu/menu;Menu;Menu;same;;;
mainmenu/rankLimit;{rank1}-{rank2};{rank1}-{rank2};same;;;
reqEnabledModification;Modification required for this weapon not installed;Modification required for this weapon not installed;same;;;
mainmenu/aviation;Aviation;Aviation;same;;;
mainmenu/army;Army;Army;same;;;
mainmenu/fleet;Fleet;Fleet;same;;;
mainmenu/helicopters;Helicopters;Helicopters;same;;;
mainmenu/boats;Coastal fleet;Coastal fleet;same;;;
mainmenu/ships;Bluewater fleet;Bluewater fleet;same;;;
mainmenu/preset_default;Default;Default;same;;;
mainmenu/mix_battles;Mix battles;Mix battles;same;;;
msg/cancel_queue_question;Do you really want to leave the queue?;Do you really want to leave the queue?;same;;;
mainmenu/questionBuyHistorical;You haven't purchased any Historical Campaign yet. Would you like to browse the Online Store now?;You haven't purchased any Historical Campaign yet. Would you like to browse the Online Store now?;same;;;
btn/buyMoreCampaigns;Buy another campaign;Buy another campaign;same;;;
mainmenu/chat;Chat;Chat;same;;;
mainmenu/chat_new_messages;You have new private messages.;You have new private messages.;same;;;
mainmenu/contacts;Contacts;Contacts;same;;;
mainmenu/invites;Invites;Invites;same;;;
mainmenu/inventory;Inventory;Inventory;same;;;
mainmenu/inventory_new_items;You have new items available;You have new items available;same;;;
mainmenu/items_shop_new_items;You have new items available;You have new items available;same;;;
mainmenu/btnAirInfoWeaponry_new_items;You have new opportunities available;You have new opportunities available;same;;;
contacts/i_invite;My Invites;My Invites;same;;;
contacts/i_am_invited;Awaiting Response;Awaiting Response;same;;;
contacts/accept_invitation;Accept Invite;Accept Invite;same;;;
contacts/decline_invitation;Decline Invite;Decline Invite;same;;;
contacts/cancel_invitation;Cancel Invite;Cancel Invite;same;;;
contacts/friends_online;Friends online: %d;Friends online: %d;same;;;
contacts/friend;Friends;Friends;same;;;
contacts/totalCount;Total contacts in group: {contactsCount};Total contacts in group: {contactsCount};same;;;
contacts/ps4_friends;Friends;Friends;same;;;
contacts/recent;Fought Together;Fought Together;same;;;
contacts/met;Met in Battle;Met in Battle;same;;;
contacts/block;Blacklist;Blacklist;same;;;
contacts/search;Player Search;Player Search;same;;;
contacts/chooseGroup;Choose a Group;Choose a Group;same;;;
contacts/choosePlayer;Choose a Player;Choose a Player;same;;;
contacts/search_advice;Press ENTER to perform global search;Press ENTER to perform global search;same;;;
contacts/searchNotFound;No Search Results;No Search Results;same;;;
contacts/friendlist/add;Add Friend;Add Friend;same;;;
contacts/friendlist/remove;Remove Friend;Remove Friend;same;;;
contacts/facebooklist/remove;;Remove from Facebook Friend list;nice;;;
contacts/steamlist/remove;Remove from Steam Friend list;Remove from Steam Friend list;same;;;
contacts/search_placeholder;⌡ Search...;⌡ Search...;same;;;
contacts/popup_friend_invitation_received;Player {userName} added you to their friend list;Player {userName} added you to their friend list;same;;;
contacts/friend_invitation_received/no_nick;added you to their friend list;added you to their friend list;same;;;
contacts/popup_has_friend_invitations;You have {count} friend {count=invitation/invitations}.;You have {count} friend {count=invitation/invitations}.;same;;;
msg/added_to_friend;You have added <color=@userlogColoredText>%s</color> to your friends list;You have added <color=@userlogColoredText>%s</color> to your friends list;same;;;
msg/added_to_ps4_friends;You have added <color=@userlogColoredText>%s</color> to your friends list;You have added <color=@userlogColoredText>%s</color> to your friends list;same;;;
msg/ask_remove_from_friend;Remove <color=@userlogColoredText>%s</color> from your friends list?;Remove <color=@userlogColoredText>%s</color> from your friends list?;same;;;
msg/ask_remove_from_ps4_friends;Remove <color=@userlogColoredText>%s</color> from your friends list?;Remove <color=@userlogColoredText>%s</color> from your friends list?;same;;;
msg/ask_remove_from_f;;Remove <color=@userlogColoredText>%s</color> from your Facebook friends list?;nice;;;
msg/ask_remove_from_s;Remove <color=@userlogColoredText>%s</color> from your Steam friends list?;Remove <color=@userlogColoredText>%s</color> from your Steam friends list?;same;;;
msg/cant_add/too_many_contacts;You cannot add more than %d contacts.;You cannot add more than %d contacts.;same;;;
msgbox/add_steam_friends;Would you like to add your Steam friends to your friends list?;Would you like to add your Steam friends to your friends list?;same;;;
msgbox/no_friends_added;No one to add;No one to add;same;;;
msgbox/added_friends_number;%d friends added;%d friends added;same;;;
msgbox/added_friends_one;Your friend has been added;Your friend has been added;same;;;
contacts/blacklist/add;Add to blacklist;Add to blacklist;same;;;
contacts/blacklist/remove;Remove from blacklist;Remove from blacklist;same;;;
contacts/copyNickToEditbox;Copy name to editbox;Copy name to editbox;same;;;
msg/added_to_block;You have added <color=@userlogColoredText>%s</color> to your blacklist;You have added <color=@userlogColoredText>%s</color> to your blacklist;same;;;
msg/ask_remove_from_block;Remove <color=@userlogColoredText>%s</color> from your blacklist?;Remove <color=@userlogColoredText>%s</color> from your blacklist?;same;;;
contacts/moderator_copyname;* Copy name to clipboard;* Copy name to clipboard;same;;;
contacts/moderator_ban;* Ban;* Ban;same;;;
contacts/moderator_ban/title;Penalty;Penalty;same;;;
contacts/message;Send Message;Send Message;same;;;
contacts/join_team;Join the team;Join the team;same;;;
contacts/invite;Invite to Squad;Invite to Squad;same;;;
contacts/play_with_friends;Play with Friends;Play with Friends;same;;;
CONTACT_REQUESTS_ARE_FORBIDDEN;The player has forbidden adding themselves to friend lists;The player has forbidden adding themselves to friend lists;same;;;
status/offline;Offline;Offline;same;;;
status/online;Online;Online;same;;;
status/unknown;Unknown;Unknown;same;;;
status/in_queue;In Queue: {gameMode}, {country};In Queue: {gameMode}, {country};same;;;
status/in_game;In Game: {gameMode}, {country};In Game: {gameMode}, {country};same;;;
status/in_queue_short;In Queue;In Queue;same;;;
status/in_game_short;In Game;In Game;same;;;
status/in_queue_ww;In Queue: World War: {operationName}, {country};In Queue: World War: {operationName}, {country};same;;;
status/in_game_ww;In Game: World War: {operationName}, {country};In Game: World War: {operationName}, {country};same;;;
status/in_prepare_ww;Preparing to battle: World War: {operationName}, {country};Preparing to battle: World War: {operationName}, {country};same;;;
status/in_prepare_ww_short;Prepare for battle;Preparing to battle;nice;;;
status/idle;Idle;Idle;same;;;
status/squad_leader;Squad leader;Squad leader;same;;;
status/squad_ready;Ready;Ready;same;;;
status/squad_not_ready;Not ready;Not ready;same;;;
status/squad_offline;Offline;Offline;same;;;
status/steam_online;Online in Steam;Online in Steam;same;;;
squadMember/colored_name;<color={color}>{name}</color>: ;<color={color}>{name}</color>: ;same;;;
squadMember/airs_not_available;No available vehicle;No available vehicle;same;;;
squadMember/all_available_airs_broken;All available vehicles are broken;All available vehicles are broken;same;;;
squadMember/partly_available_airs_broken;Partly available vehicles are broken;Partly available vehicles are broken;same;;;
squadMember/selected_airs_not_available;Selected vehicle is not available;Selected vehicle is not available;same;;;
squadMember/selected_airs_broken;Selected vehicle is broken;Selected vehicle is broken;same;;;
squadMember/selected_country_not_available;Selected country is not available;Selected country is not available;same;;;
squadMember/no_required_units;No required vehicles;No required vehicles;same;;;
squadAction/disband;Disband squad;Disband squad;same;;;
squadAction/leave;Leave squad;Leave squad;same;;;
squadAction/join;Join to squad;Join to squad;same;;;
squadAction/openChat;Open chat;Open chat;same;;;
squad/title;Squad:;Squad:;same;;;
squad/size;Squad size {numMembers}/{maxMembers};Squad size {numMembers}/{maxMembers};same;;;
squad/info;Information about the squad;Information about the squad;same;;;
squad/auto;You've auto-joined a squad with another player - stay close, use them as bait and don't rely on them.;You are joined in an automatic squad with this player - stay close and earn additional rewards for destroying an enemy.;nice;;;
channel/search;Search for closed chat;Search for closed chat;same;;;
channel/showPlayersList;List of players in this chat;List of players in this chat;same;;;
shop/giftAir/alpha;Pack;Pack;same;;;
shop/giftAir/alpha/info;"This vehicle can only be received by purchasing ""Dora"" or ""Ultra"" Advanced Pack.%s";"This vehicle can only be received by purchasing ""Dora"" or ""Ultra"" Advanced Pack.%s";same;;;
shop/giftAir/starterpack5;Pack;Pack;same;;;
shop/giftAir/starterpack5/info;"This vehicle can only be received by purchasing ""Ultra"" Advanced Pack.";"This vehicle can only be received by purchasing ""Ultra"" Advanced Pack.";same;;;
shop/giftAir/campaign;Pack;Pack;same;;;
shop/giftAir/campaign/info;"This vehicle can only be received by purchasing the %s campaign or ""Ultra"" Advanced Pack.";"This vehicle can only be received by purchasing the %s campaign or ""Ultra"" Advanced Pack.";same;;;
shop/giftAir/beta;Pack;Pack;same;;;
shop/giftAir/beta/info;"This vehicle can only be received by purchasing ""Typhoon"" or ""Ultra"" Advanced Pack.%s";"This vehicle can only be received by purchasing ""Typhoon"" or ""Ultra"" Advanced Pack.%s";same;;;
askPlayTutorial;;Would you like to complete the tutorial?;nice;;;
msgbox/req_tutorial_for_mode;;"To play this game mode you need to complete the tutorial.
Would you like to complete the tutorial for <color=@activeTextColor>%s</color> difficulty?";nice;;;
msgbox/btn_startTutorial;;Start Tutorial;nice;;;
options/doNotAskMeAgain;Fuck off;Do not ask me again;nice;;;
options/doNotAskMeAgain/tutorial/hint;;You can always find the tutorial missions in the menu.;nice;;;
shop/giftAir/new_year_2014;Pack;Pack;same;;;
shop/giftAir/new_year_2014/info;This vehicle can only be obtained by purchasing a special pack.;This vehicle can only be obtained by purchasing a special pack.;same;;;
shop/giftAir/rbt_5;Pack;Pack;same;;;
shop/giftAir/rbt_5/info;This vehicle can only be obtained by purchasing a special pack. Attention! The minimum distance to fire rockets is 200 meters.;This vehicle can only be obtained by purchasing a special pack. Attention! The minimum distance to fire rockets is 200 metres.;nice;;;
shop/giftAir/uk_tanks_cbt;Pack;Pack;same;;;
shop/giftAir/uk_tanks_cbt/info;This vehicle can only be obtained by purchasing a special pack.;This vehicle can only be obtained by purchasing a special pack.;same;;;
shop/giftAir/it_tanks_cbt;Pack;Pack;same;;;
shop/giftAir/it_tanks_cbt/info;Attention! Before the release of the Italian ground vehicles main tech tree, this tank will have 3 respawns in tank battles. Upon the release of the Italian tech tree, the number of respawns will be reduced to 1.;Attention! Before the release of the Italian ground vehicles main tech tree, this tank will have 3 respawns in tank battles. Upon the release of the Italian tech tree, the number of respawns will be reduced to 1.;same;;;
shop/giftAir/msi_notebook;Pack;Pack;same;;;
shop/giftAir/msi_notebook/info;This vehicle can only be obtained by purchasing a special pack.;This vehicle can only be obtained by purchasing a special pack.;same;;;
shop/giftAir/coupon/info;This vehicle can be obtained with coupon by purchasing it on Marketplace.;This vehicle can be obtained with coupon by purchasing it on Marketplace.;same;;;
shop/featureLock/USATanks/warning/research;Vehicle isn’t available for research at the moment.;Vehicle isn’t available for research at the moment.;same;;;
shop/featureLock/USATanks/warning/buy;Vehicle isn’t available for purchase at the moment.;Vehicle isn’t available for purchase at the moment.;same;;;
shop/featureLock/USATanks/warning/main;Ground forces of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.;Ground forces of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.;same;;;
shop/featureLock/USATanks/warning/specialPackPart;;;same;;;
shop/featureLock/BritainTanks/header;British Ground Forces;British Ground Forces;same;;;
shop/featureLock/JapanTank/header;Japanese Ground Forces;Japanese Ground Forces;same;;;
shop/featureLock/ChinaTank/header;China Ground Forces;China Ground Forces;same;;;
shop/featureLock/USATanks/advise;"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";same;;;
shop/featureLock/ItalyAircraft/header;Italian Air Forces;Italian Air Forces;same;;;
shop/featureLock/FranceAircraft/header;French Air Forces;French Air Forces;same;;;
shop/featureLock/ChinaAircraft/header;China Air Forces;China Air Forces;same;;;
shop/featureLock/SwedenAircraft/header;Swedish Air Forces;Swedish Air Forces;same;;;
shop/featureLock/IsraelAircraft/header;Israeli Air Forces;Israeli Air Forces;same;;;
shop/featureLock/Aircraft/warning/research;Vehicle isn’t available for research at the moment.;Vehicle isn’t available for research at the moment.;same;;;
shop/featureLock/Aircraft/warning/buy;Vehicle isn’t available for purchase at the moment.;Vehicle isn’t available for purchase at the moment.;same;;;
shop/featureLock/Aircraft/warning/main;"Air forces of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";"Air forces of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";same;;;
shop/featureLock/Aircraft/advise;"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";same;;;
shop/featureLock/FranceTank/header;French Ground Forces;French Ground Forces;same;;;
shop/featureLock/ItalyTank/header;Italian Ground Forces;Italian Ground Forces;same;;;
shop/featureLock/SwedenTank/header;Swedish Ground Forces;Swedish Ground Forces;same;;;
shop/featureLock/IsraelTank/header;Israeli Ground Forces;Israeli Ground Forces;same;;;
shop/featureLock/Tank/warning/research;Vehicle isn’t available for research at the moment.;Vehicle isn’t available for research at the moment.;same;;;
shop/featureLock/Tank/warning/main;"Ground forces of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";"Ground forces of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";same;;;
shop/featureLock/Tank/advise;"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";same;;;
shop/featureLock/UsaHelicopter/header;USA Helicopters;USA Helicopters;same;;;
shop/featureLock/UssrHelicopter/header;USSR Helicopters;USSR Helicopters;same;;;
shop/featureLock/Helicopter/warning/research;Vehicle isn’t available for research at the moment.;Vehicle isn’t available for research at the moment.;same;;;
shop/featureLock/Helicopter/warning/main;"Helicopters of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";"Helicopters of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";same;;;
shop/featureLock/Helicopter/advise;"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";"You can become a tester and receive access to CBT if you complete any of the following conditions:
1) Play the game and complete specified game tasks
2) Purchase a suitable bundle:";same;;;
shop/featureLock/BritainShip/header;Britain fleet;Britain fleet;same;;;
shop/featureLock/JapanShip/header;Japan fleet;Japan fleet;same;;;
shop/featureLock/ItalyShip/header;Italian fleet;Italian fleet;same;;;
shop/featureLock/FranceShip/header;French fleet;French fleet;same;;;
shop/featureLock/FranceBoat/header;French Coastal fleet;French Coastal fleet;same;;;
shop/featureLock/Ship/warning/research;Vehicle isn’t available for research at the moment.;Vehicle isn’t available for research at the moment.;same;;;
shop/featureLock/Ship/warning/buy;Vehicle isn’t available for purchase at the moment.;Vehicle isn’t available for purchase at the moment.;same;;;
shop/featureLock/Ship/warning/main;"Fleet of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";"Fleet of this country are now in Closed Beta Test. Each vehicle will become available as it is fully tested and tuned. Until then, they are available only for testers.
<color=@warningTextColor><link=www.warthunder.com>Read more on our website www.warthunder.com</link></color>";same;;;
