Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
missions/ship_event_historical/desc;"Naval Realistic Battles is a battle mode for naval vessels and aircraft only. Two extra aircraft slots are included in addition to your current naval vessel setup – and you can also use aircraft of your choice. This mode uses a special kind of Spawn Points that are earned by successfully performing specific actions in combat. You can use these points to respawn an aircraft. The number of points you have at the start of a battle is below what is required to pilot an aircraft. The markers are used for allied units only. Vehicle characteristics are maximally approximated to those of their real-life counterparts. Parties can have vehicles from one or several nations.
The maximum number of in-combat respawns is as follows: 3 for naval vessels and 2 for aircraft.";"Naval Realistic Battles is a battle mode for naval vessels and aircraft only. Two extra aircraft slots are included in addition to your current naval vessel setup – and you can also use aircraft of your choice. This mode uses a special kind of Spawn Points that are earned by successfully performing specific actions in combat. You can use these points to respawn an aircraft. The number of points you have at the start of a battle is below what is required to pilot an aircraft. The markers are used for allied units only. Vehicle characteristics are maximally approximated to those of their real-life counterparts. Parties can have vehicles from one or several nations.
The maximum number of in-combat respawns is as follows: 3 for naval vessels and 2 for aircraft.";same;;;;;;;;;;;;;;;;;;;
missions/ship_event_simulator;Naval Simulator Battles;Naval Simulator Battles;same;;;;;;;;;;;;;;;;;;;
missions/ship_event_simulator/desc;;;same;;;;;;;;;;;;;;;;;;;
missions/helicopter_event_arcade;Helicopter Arcade Battles;Helicopter Arcade Battles;same;;;;;;;;;;;;;;;;;;;
missions/helicopter_event_historical;Helicopter Realistic Battles;Helicopter Realistic Battles;same;;;;;;;;;;;;;;;;;;;
missions/helicopter_event_simulator;Helicopter Simulator Battles;Helicopter Simulator Battles;same;;;;;;;;;;;;;;;;;;;
common_air_kills;(aircraft);(aircraft);same;;;;;;;;;;;;;;;;;;;
common_ground_kills;(ground forces);(ground forces);same;;;;;;;;;;;;;;;;;;;
common_missions_played;(missions);(missions);same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day01;First Battles;First Battles;same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day02;Avenger;Avenger;same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day03;Aircraft Score Too!;Aircraft Score Too!;same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day04;Meet the Heavy;Meet the Heavy;same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day05;Daily Routine;Daily Routine;same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day06;Can See My Enemy;Can See My Enemy;same;;;;;;;;;;;;;;;;;;;
premium_tanks_givaway_day07;Five After Ten;Five After Ten;same;;;;;;;;;;;;;;;;;;;
event_country_germany;(Germany);(Germany);same;;;;;;;;;;;;;;;;;;;
event_country_ussr;(USSR);(USSR);same;;;;;;;;;;;;;;;;;;;
event_country_britain;(Britain);(Britain);same;;;;;;;;;;;;;;;;;;;
event_country_australia;(Australia);(Australia);same;;;;;;;;;;;;;;;;;;;
event_country_usa;(USA);(USA);same;;;;;;;;;;;;;;;;;;;
event_country_italy;(Italy);(Italy);same;;;;;;;;;;;;;;;;;;;
event_country_japan;(Japan);(Japan);same;;;;;;;;;;;;;;;;;;;
event_country_china;(China);(China);same;;;;;;;;;;;;;;;;;;;
event_airforce_germany;German Air Force;German Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_ussr;USSR Air Force;USSR Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_britain;British Air Force;British Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_australia;Australian Air Force;Australian Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_usa;US Air Force;US Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_italy;Italian Air Force;Italian Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_japan;Japanese Air Force;Japanese Air Force;same;;;;;;;;;;;;;;;;;;;
event_airforce_china;Chinese Air Force;Chinese Air Force;same;;;;;;;;;;;;;;;;;;;
event_army_germany;German Army;German Army;same;;;;;;;;;;;;;;;;;;;
event_army_ussr;USSR Army;USSR Army;same;;;;;;;;;;;;;;;;;;;
event_army_britain;British Army;British Army;same;;;;;;;;;;;;;;;;;;;
event_army_australia;Australian Army;Australian Army;same;;;;;;;;;;;;;;;;;;;
event_army_usa;US Army;US Army;same;;;;;;;;;;;;;;;;;;;
event_army_italy;Italian Army;Italian Army;same;;;;;;;;;;;;;;;;;;;
event_army_japan;Japanese Army;Japanese Army;same;;;;;;;;;;;;;;;;;;;
event_army_china;Chinese Army;Chinese Army;same;;;;;;;;;;;;;;;;;;;
events/kursk_battle;Battle of Kursk;Battle of Kursk;same;;;;;;;;;;;;;;;;;;;
events/kursk_battle/desc;;;same;;;;;;;;;;;;;;;;;;;
events/prokhorovka_battle;Battle of Prokhorovka;Battle of Prokhorovka;same;;;;;;;;;;;;;;;;;;;
events/prokhorovka_battle/desc;;;same;;;;;;;;;;;;;;;;;;;
events/antiaircraft_battle;Rapid Fire;Rapid Fire;same;;;;;;;;;;;;;;;;;;;
events/antiaircraft_battle/desc;;;same;;;;;;;;;;;;;;;;;;;
events/tank_vs_air_arcade;The Sky is for Heroes;The Sky is for Heroes;same;;;;;;;;;;;;;;;;;;;
events/tank_vs_air_arcade/desc;Only the best will reach the heights! Gain one opportunity of using an aircraft in a ground battle for each three enemies defeated.;Only the best will reach the heights! Gain one opportunity of using an aircraft in a ground battle for each three enemies defeated.;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_v1_race_inverted;[Race] Tropical Island;[Race] Tropical Island;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_v1_race_inverted/desc;Race track above the tropical island.;Race track above the tropical island.;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_v2_race_straight;[Race] Tropical Island;[Race] Tropical Island;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_v2_race_straight/desc;Race track above the tropical island.;Race track above the tropical island.;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_v2_race_inverted;[Race] Tropical Island;[Race] Tropical Island;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_v2_race_inverted/desc;Race track above the tropical island.;Race track above the tropical island.;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles;[Race] Island;[Race] Island;same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_1st_rank;[Race] Island (1st rank);[Race] Island (1st rank);same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_2nd_rank;[Race] Island (2nd rank);[Race] Island (2nd rank);same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_3rd_rank;[Race] Island (3rd rank);[Race] Island (3rd rank);same;;;;;;;;;;;;;;;;;;;
missions/phiphi_race_two_circles_4th_rank;[Race] Island (4th rank);[Race] Island (4th rank);same;;;;;;;;;;;;;;;;;;;
events/wrong_clan_for_this_tornament;In this tournament you can participate in only one Squadron.;In this tournament you can participate in only one Squadron.;same;;;;;;;;;;;;;;;;;;;
events/wait_for_sessions_to_finish/main;You cannot join the battle until the current tournament battle is finished.;You cannot join the battle until the current tournament battle is finished.;same;;;;;;;;;;;;;;;;;;;
events/wait_for_sessions_to_finish/optional;Less than {timeleft} left.;Less than {timeleft} left.;same;;;;;;;;;;;;;;;;;;;
events/no_unlock_progress;Achievement progress is not counted in this game mode.;Achievement progress is not counted in this game mode.;same;;;;;;;;;;;;;;;;;;;
events/boosters_do_not_work;Boosters for research points and Silver Lions do not work in this game mode.;Boosters for research points and Silver Lions do not work in this game mode.;same;;;;;;;;;;;;;;;;;;;
events/has_time_awarding_economics;This game mode uses a system of rewards for useful actions per unit of time. The reward for individual actions is not accrued.;This game mode uses a system of rewards for useful actions per unit of time. The reward for individual actions is not accrued.;same;;;;;;;;;;;;;;;;;;;
missions/ab_airfield_assault;Airfield Ass salt;Airfield Assault;trim;;;;;;;;;;;;;;;;;;;
missions/ab_airfield_assault/desc;Three airfields surround the town. Each team has an airfield, but there is a central one in the middle of the town - this airfield is open for capture by all and, once capped, the owning team can capture the others. The central base has no ticket bleed, but as soon as any of the other fields are taken, tickets will bleed from the original owners. This will continue until the central airfield is captured again and then the team's satellite base is re-captured. This will be a real tug of war between the three teams, a real struggle for survival.;Three airfields surround the town. Each team has an airfield, but there is a central one in the middle of the town - this airfield is open for capture by all and, once capped, the owning team can capture the others. The central base has no ticket bleed, but as soon as any of the other fields are taken, tickets will bleed from the original owners. This will continue until the central airfield is captured again and then the team's satellite base is re-captured. This will be a real tug of war between the three teams, a real struggle for survival.;same;;;;;;;;;;;;;;;;;;;
mission/pve_event;Victory Hour;Victory Hour;same;;;;;;;;;;;;;;;;;;;
mission/pve_event/desc;Take part in the events that became a symbol of victory in the Second World War.;Take part in the events that became a symbol of victory in the Second World War.;same;;;;;;;;;;;;;;;;;;;
missions/ussr_capture_of_reichstag;Victory Hour;Victory Hour;same;;;;;;;;;;;;;;;;;;;
missions/ussr_capture_of_reichstag_PvE;Victory Hour;Victory Hour;same;;;;;;;;;;;;;;;;;;;
missions/ussr_capture_of_reichstag_PvE/desc;Take part in the events that became a symbol of victory in the Second World War: the Battle for the Reichstag!;Take part in the events that became a symbol of victory in the Second World War: the Battle for the Reichstag!;same;;;;;;;;;;;;;;;;;;;
missions/chastise;"Operation ""Chastise""";"Operation ""Chastise""";same;;;;;;;;;;;;;;;;;;;
missions/chastise/desc;"Operation ""Chastise"" was planned for the 16th and 17th of May 1943. The RAF bomber groups were to provide massive attacks over the industrial areas of the Ruhr. The intention of operation ""Chastise"", was to significantly weaken the weapon production of the enemy.";"Operation ""Chastise"" was planned for the 16th and 17th of May 1943. The RAF bomber groups were to provide massive attacks over the industrial areas of the Ruhr. The intention of operation ""Chastise"", was to significantly weaken the weapon production of the enemy.";same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank0_5;[1][Enduring Confrontation] Stalingrad;[1][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank6_10;[2][Enduring Confrontation] Stalingrad;[2][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank11_16;[3][Enduring Confrontation] Stalingrad;[3][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank17_25;[4][Enduring Confrontation] Stalingrad;[4][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank_1;[1][Enduring Confrontation] Stalingrad;[1][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank_2;[2][Enduring Confrontation] Stalingrad;[2][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank_3;[3][Enduring Confrontation] Stalingrad;[3][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank_4;[4][Enduring Confrontation] Stalingrad;[4][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/stalingrad_I2M_rank_5;[5][Enduring Confrontation] Stalingrad;[5][Enduring Confrontation] Stalingrad;same;;;;;;;;;;;;;;;;;;;
missions/khalkhin_gol_I2M_rank_1;[1][Enduring Confrontation] Khalkhin Gol;[1][Enduring Confrontation] Khalkhin Gol;same;;;;;;;;;;;;;;;;;;;
missions/khalkhin_gol_I2M_rank_2;[2][Enduring Confrontation] Khalkhin Gol;[2][Enduring Confrontation] Khalkhin Gol;same;;;;;;;;;;;;;;;;;;;
missions/khalkhin_gol_I2M_rank_3;[3][Enduring Confrontation] Khalkhin Gol;[3][Enduring Confrontation] Khalkhin Gol;same;;;;;;;;;;;;;;;;;;;
missions/khalkhin_gol_I2M_rank_4;[4][Enduring Confrontation] Khalkhin Gol;[4][Enduring Confrontation] Khalkhin Gol;same;;;;;;;;;;;;;;;;;;;
missions/khalkhin_gol_I2M_rank_5;[5][Enduring Confrontation] Khalkhin Gol;[5][Enduring Confrontation] Khalkhin Gol;same;;;;;;;;;;;;;;;;;;;
missions/ruhr_I2M_rank_1;[1][Enduring Confrontation] Ruhr;[1][Enduring Confrontation] Ruhr;same;;;;;;;;;;;;;;;;;;;
missions/ruhr_I2M_rank_2;[2][Enduring Confrontation] Ruhr;[2][Enduring Confrontation] Ruhr;same;;;;;;;;;;;;;;;;;;;
missions/ruhr_I2M_rank_3;[3][Enduring Confrontation] Ruhr;[3][Enduring Confrontation] Ruhr;same;;;;;;;;;;;;;;;;;;;
missions/ruhr_I2M_rank_4;[4][Enduring Confrontation] Ruhr;[4][Enduring Confrontation] Ruhr;same;;;;;;;;;;;;;;;;;;;
missions/ruhr_I2M_rank_5;[5][Enduring Confrontation] Ruhr;[5][Enduring Confrontation] Ruhr;same;;;;;;;;;;;;;;;;;;;
missions/sicily_I2M_rank_1;[1][Enduring Confrontation] Sicily;[1][Enduring Confrontation] Sicily;same;;;;;;;;;;;;;;;;;;;
missions/sicily_I2M_rank_2;[2][Enduring Confrontation] Sicily;[2][Enduring Confrontation] Sicily;same;;;;;;;;;;;;;;;;;;;
missions/sicily_I2M_rank_3;[3][Enduring Confrontation] Sicily;[3][Enduring Confrontation] Sicily;same;;;;;;;;;;;;;;;;;;;
missions/sicily_I2M_rank_4;[4][Enduring Confrontation] Sicily;[4][Enduring Confrontation] Sicily;same;;;;;;;;;;;;;;;;;;;
missions/sicily_I2M_rank_5;[5][Enduring Confrontation] Sicily;[5][Enduring Confrontation] Sicily;same;;;;;;;;;;;;;;;;;;;
missions/port_moresby_I2M_rank_1;[1][Enduring Confrontation] New Guinea;[1][Enduring Confrontation] New Guinea;same;;;;;;;;;;;;;;;;;;;
missions/port_moresby_I2M_rank_2;[2][Enduring Confrontation] New Guinea;[2][Enduring Confrontation] New Guinea;same;;;;;;;;;;;;;;;;;;;
missions/port_moresby_I2M_rank_3;[3][Enduring Confrontation] New Guinea;[3][Enduring Confrontation] New Guinea;same;;;;;;;;;;;;;;;;;;;
missions/port_moresby_I2M_rank_4;[4][Enduring Confrontation] New Guinea;[4][Enduring Confrontation] New Guinea;same;;;;;;;;;;;;;;;;;;;
missions/port_moresby_I2M_rank_5;[5][Enduring Confrontation] New Guinea;[5][Enduring Confrontation] New Guinea;same;;;;;;;;;;;;;;;;;;;
missions/volokolamsk_I2M_rank_1;[1][Enduring Confrontation] Volokolamsk;[1][Enduring Confrontation] Volokolamsk;same;;;;;;;;;;;;;;;;;;;
missions/volokolamsk_I2M_rank_2;[2][Enduring Confrontation] Volokolamsk;[2][Enduring Confrontation] Volokolamsk;same;;;;;;;;;;;;;;;;;;;
missions/volokolamsk_I2M_rank_3;[3][Enduring Confrontation] Volokolamsk;[3][Enduring Confrontation] Volokolamsk;same;;;;;;;;;;;;;;;;;;;
missions/volokolamsk_I2M_rank_4;[4][Enduring Confrontation] Volokolamsk;[4][Enduring Confrontation] Volokolamsk;same;;;;;;;;;;;;;;;;;;;
missions/volokolamsk_I2M_rank_5;[5][Enduring Confrontation] Volokolamsk;[5][Enduring Confrontation] Volokolamsk;same;;;;;;;;;;;;;;;;;;;
missions/I2M;Enduring Confrontation;Enduring Confrontation;same;;;;;;;;;;;;;;;;;;;
missions/I2M/desc;"This game mode has 5 levels depending on the maximum battle rating of your vehicle setup:
[1] 1.0 - 2.0
[2] 2.3 - 3.3
[3] 3.7 - 4.7
[4] 5.0 - 6.3
[5] 6.7+
Plan your vehicle setup accordingly.";"This game mode has 5 levels depending on the maximum battle rating of your vehicle setup:
[1] 1.0 - 2.0
[2] 2.3 - 3.3
[3] 3.7 - 4.7
[4] 5.0 - 6.3
[5] 6.7+
Plan your vehicle setup accordingly.";same;;;;;;;;;;;;;;;;;;;
missions/I2M_rank_1;[1][Enduring Confrontation];[1][Enduring Confrontation];same;;;;;;;;;;;;;;;;;;;
missions/I2M_rank_2;[2][Enduring Confrontation];[2][Enduring Confrontation];same;;;;;;;;;;;;;;;;;;;
missions/I2M_rank_3;[3][Enduring Confrontation];[3][Enduring Confrontation];same;;;;;;;;;;;;;;;;;;;
missions/I2M_rank_4;[4][Enduring Confrontation];[4][Enduring Confrontation];same;;;;;;;;;;;;;;;;;;;
missions/I2M_rank_5;[5][Enduring Confrontation];[5][Enduring Confrontation];same;;;;;;;;;;;;;;;;;;;
mission/survival;The Last Stand;The Last Stand;same;;;;;;;;;;;;;;;;;;;
mission/survival/desc;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;same;;;;;;;;;;;;;;;;;;;
mission/survival_clan;[Squadron Event] The Last Stand;[Squadron Event] The Last Stand;same;;;;;;;;;;;;;;;;;;;
mission/survival_clan/desc;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;same;;;;;;;;;;;;;;;;;;;
missions/battle_for_survival_8_players_PvE;The Last Stand;The Last Stand;same;;;;;;;;;;;;;;;;;;;
missions/battle_for_survival_8_players_PvE/desc;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;same;;;;;;;;;;;;;;;;;;;
missions/battle_for_survival;The Last Stand;The Last Stand;same;;;;;;;;;;;;;;;;;;;
missions/battle_for_survival/desc;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;Amidst the hordes of enemies charging from all sides your squad is the last island of resistance. Hold the line! Don't let them overthrow you!;same;;;;;;;;;;;;;;;;;;;
msg/eventAccess/needEntitlements;To access the event {event}, you must have {entitlement};To access the event {event}, you must have {entitlement};same;;;;;;;;;;;;;;;;;;;
msg/members_no_access_to_mode;{members} do not have access to this mode.;{members} do not have access to this mode.;same;;;;;;;;;;;;;;;;;;;
event/pve_main_air_arcade;Air Ass salt;Assault. Air Arcade;nice;;;;;;;;;;;;;;;;;;;
event/pve_main_air_arcade/desc;"Play this air arcade PvE mode
cause the grind fucking sucks: 
1.0 - 2.3
2.7 - 3.7
4.0 - 5.0
5.3 - 6.3
6.7 - 12.7
Go fuck youself!";"Cooperative PvE game mode in which players defend an allied base from several waves of enemies. Every day, the first battle in ""Assault"" mode brings players a special reward.
This game mode has 5 levels depending on the maximum battle rating of your vehicle setup:
1.0 - 2.3
2.7 - 3.7
4.0 - 5.0
5.3 - 6.3
6.7 - 12.7
Plan your vehicle setup accordingly.";nice;;;;;;;;;;;;;;;;;;;
event/pve_main_tank_arcade;Tank Ass salt;Assault. Ground Arcade;nice;;;;;;;;;;;;;;;;;;;
event/pve_main_tank_arcade/desc;"Play this tank arcade PvE mode
cause the grind fucking sucks:
1.0 - 2.3
2.7 - 3.7
4.0 - 5.0
5.3 - 6.3
6.7 - 8.0
8.3+ 
Don't be a dumb cunt.";"Cooperative PvE game mode in which players defend an allied base from several waves of enemies. Every day, the first battle in ""Assault"" mode brings players a special reward.
This game mode has 6 levels depending on the maximum battle rating of your vehicle setup:
1.0 - 2.3
2.7 - 3.7
4.0 - 5.0
5.3 - 6.3
6.7 - 8.0
8.3+
Plan your vehicle setup accordingly.";nice;;;;;;;;;;;;;;;;;;;
trophy/pve_main_trophy;Ass salt trophy;Trophy for taking part in the Assault;nice;;;;;;;;;;;;;;;;;;;
event/BR;Battle Royale;Battle Royale;same;;;;;;;;;;;;;;;;;;;
event/BR32;Battle Royale (32 players);Battle Royale (32 players);same;;;;;;;;;;;;;;;;;;;
event/BR64;Battle Royale (64 players);Battle Royale (64 players);same;;;;;;;;;;;;;;;;;;;
events/playersRooms;Rooms created by players;Rooms created by players;same;;;;;;;;;;;;;;;;;;;
events/playersRooms/tooltip;Search for available sessions also among the rooms created by players.;Search for available sessions also among the rooms created by players.;same;;;;;;;;;;;;;;;;;;;
events/noCompatibilityMode/msg;This mode is not available when the 'Old videocards support' option is enabled.;This mode is not available when the 'Old videocards support' option is enabled.;same;;;;;;;;;;;;;;;;;;;
events/noCompatibilityMode;Switch off the 'Old videocards support' option.;Switch off the 'Old videocards support' option.;same;;;;;;;;;;;;;;;;;;;
events/notEnoughMoney;Not enough money for a contribution;Not enough money for a contribution;same;;;;;;;;;;;;;;;;;;;
events/notAvailableNewbiesMode/msg;This mode is not available for noobs. Fuck you, cunt.;This mode is not available to you. Select another suitable mode in the mode selection window.;nice;;;;;;;;;;;;;;;;;;;
missions/ship_timeDelay_battles;[┚ Enduring Confrontation] Naval Battles;[┚ Enduring Confrontation] Naval Battles;same;;;;;;;;;;;;;;;;;;;
missions/ship_timeDelay_battles/desc;"Achieve superiority by destroying enemy convoys, ports and vehicles.

Aircraft fly outs require a fixed amount of available respawn points. Respawns on ships with BR 4.7 and higher require respawn points depending on the BR. The amount of respawns is not limited and you can respawn with same vehicle multiple times but every respawn will cost Silver Lions depending on the repair cost of the vehicle.";"Achieve superiority by destroying enemy convoys, ports and vehicles.

Aircraft fly outs require a fixed amount of available respawn points. Respawns on ships with BR 4.7 and higher require respawn points depending on the BR. The amount of respawns is not limited and you can respawn with same vehicle multiple times but every respawn will cost Silver Lions depending on the repair cost of the vehicle.";same;;;;;;;;;;;;;;;;;;;
